HVH_107_09_000005_000013	网
HVH_107_09_000005_000014	般大切控
HVH_107_09_000005_000015	條倒
HVH_107_09_000005_000016	天地等擅内放牲畜作践者問違
HVH_107_09_000005_000017	制杖一百牲畜入官犯人枷號一简月落
HVH_107_09_000006_000001	致奈配典神祗
HVH_107_09_000006_000002	境内
HVH_107_09_000006_000003	帝明王忠臣烈士载在祀典應合致祭
HVH_107_09_000006_000004	神所在有司置立牌面開写神號奈
HVH_107_09_000006_000005	配日期於潔净處常用戀掛依時致
HVH_107_09_000006_000006	至期失誤奈祀者
HVH_107_09_000006_000007	官史
HVH_107_09_000006_000008	所司
HVH_107_09_000006_000009	杖一百其不當
HVH_107_09_000006_000010	无格营镇有司载在相典合数
HVH_107_09_000006_000011	神者期青政若至明
HVH_107_09_000006_000012	福最祭者教入十恶
HVH_107_09_000006_000013	共演鼠於逢嗣者
HVH_107_09_000006_000014	皇越律
HVH_107_09_000006_000015	卷九律
HVH_107_09_000006_000016	五
HVH_107_09_000006_000017	敬礼典种
HVH_107_09_000007_000001	歷代帝王陵寝
HVH_107_09_000007_000002	凡歷代帝王陵寝及先聖先皆惠臣烈士
HVH_107_09_000007_000003	培墓
HVH_107_09_000007_000004	当加宁
HVH_107_09_000007_000005	所在有司
HVH_107_09_000007_000006	不許於上樵标耕作及
HVH_107_09_000007_000007	牧放牛羊等畜者杖八十
HVH_107_09_000007_000008	帝王陵表在各地方及聖贤总烈境
HVH_107_09_000007_000009	基所在有司當其禁以議之者
HVH_107_09_000007_000010	皇越律例
HVH_107_09_000007_000011	苍九律
HVH_107_09_000007_000012	六
HVH_107_09_000007_000013	歷帝王陵寝
HVH_107_09_000008_000001	褒资神明
HVH_107_09_000008_000002	九私家告天拜斗焚烧夜香燃照天
HVH_107_09_000008_000003	七燈神明者杖八十婦女有犯
HVH_107_09_000008_000004	罪坐家長若僧道脩齋而拜奏青
HVH_107_09_000008_000005	詞表交及新火灾者同罪回俗
HVH_107_09_000008_000006	舞
HVH_107_09_000008_000007	重在
HVH_107_09_000008_000008	年奏青词表文者不禁
HVH_107_09_000008_000009	若止修新而不
HVH_107_09_000008_000010	若有官及军民之
HVH_107_09_000008_000011	家縱合妻女於寺觀神廟燒香者笞四
HVH_107_09_000008_000012	罪坐夫男無夫男者罪坐本婦其寺
HVH_107_09_000008_000013	神廟住持及守門之人不爲禁止者
HVH_107_09_000008_000014	與同罪
HVH_107_09_000008_000015	告天外焚香點燈皆敬麗天神之
HVH_107_09_000008_000016	串典各有其分私家所得祭者
HVH_107_09_000008_000017	记越律何一卷几
HVH_107_09_000008_000018	七
HVH_107_09_000008_000019	费神明
HVH_107_09_000008_000020	越矣越則矣故杖八十起
HVH_107_09_000008_000021	先之外惟里五若上及天种则
HVH_107_09_000008_000022	無夫男即坐本婦其住持僧道及
HVH_107_09_000008_000023	中门人婦女出入不為禁止者亦
HVH_107_09_000008_000024	條侧
