HVH_107_12_000003_000026	雄非月有心
HVH_107_12_000003_000027	故高晓藏下知面不
HVH_107_12_000003_000028	首刻兼指常也
HVH_107_12_000003_000029	會過或子或孫自勿道易興他人
HVH_107_12_000003_000030	爲後及勝定他人之女未遇門成
HVH_107_12_000003_000031	妻者俱不追坐不在背新为如之限
HVH_107_12_000003_000032	皇越律侧
HVH_107_12_000003_000033	卷三
HVH_107_12_000003_000034	一利常残盗上
HVH_107_12_000003_000035	反大道
HVH_107_12_000003_000036	若有人知其反道之谋不即舉報输
HVH_107_12_000003_000037	师教远走域藏在家是即
HVH_107_12_000003_000038	惡矣坐新有能出力追捕捕获送
HVH_107_12_000003_000039	官者民测授以民官单则救以革職
HVH_107_12_000003_000040	魔其之强别劝之大小以爲官之
HVH_107_12_000003_000041	崇单非可一定故不言何官也仍將
HVH_107_12_000003_000042	此修立快至而定党仁原其
HVH_107_12_000003_000043	体意正欲使人望审知交相疲畏
HVH_107_12_000003_000044	所以道惡于萌将悟于未癸耳签
HVH_107_12_000003_000045	十以上反万疾之
HVH_107_12_000003_000046	人死罪所不加者亦断之謂老病
HVH_107_12_000003_000047	告
HVH_107_12_000004_000001	雖異姓必誅許旅道房雖親于
HVH_107_12_000004_000002	而不坐嚴之至贵竟仁之至也
HVH_107_12_000004_000003	條例
HVH_107_12_000004_000004	式因像身无仍我
HVH_107_12_000004_000005	正纪及其之犯监
HVH_107_12_000004_000006	一几反逆案内干速流犯並妻子俱疣知
HVH_107_12_000004_000007	其尾条宗
HVH_107_12_000004_000008	本犯身故有子者其妻仍同流無子者
HVH_107_12_000004_000009	免流
HVH_107_12_000004_000010	一除實犯反逆及科衆成官反狱倡立邪
HVH_107_12_000004_000011	教傳徒惑衆滋事案内之親属仍照律
HVH_107_12_000004_000012	禄坐外其有人本恩妄書詞狂悖或希
HVH_107_12_000004_000013	圖騙財物典立邪教尚未傳徒惑
HVH_107_12_000004_000014	及獨造邪說尚未煽惑人心並姦徒懐
HVH_107_12_000004_000015	换私嫌將謀道重情控造匿名揭站冀
HVH_107_12_000004_000016	皇越律例卷三
HVH_107_12_000004_000017	谋友大范
HVH_107_12_000004_000018	圖誣陷比照反逆及謀叛定罪之案正
HVH_107_12_000004_000019	犯照律辨理其家属一概免其坐
HVH_107_12_000004_000020	中
HVH_107_12_000005_000001	叛
HVH_107_12_000005_000002	比條當契上友
HVH_107_12_000005_000003	道除合行
HVH_107_12_000005_000004	凡謀叛
HVH_107_12_000005_000005	胡音本图
HVH_107_12_000005_000006	潜從他图
HVH_107_12_000005_000007	但共謀者不分首從
HVH_107_12_000005_000008	集上條有者子
HVH_107_12_000005_000009	安要此及其子
HVH_107_12_000005_000010	皆斬妻妾子女付功臣之家为奴财
HVH_107_12_000005_000011	及子之事也师妹
HVH_107_12_000005_000012	不至看在室艺绅
HVH_107_12_000005_000013	前已缩其
HVH_107_12_000005_000014	産鱼人官
HVH_107_12_000005_000015	妹
HVH_107_12_000005_000016	坐
HVH_107_12_000005_000017	女許嫁已定子過房
HVH_107_12_000005_000018	天要反道亦不逆笔
HVH_107_12_000005_000019	與人聘妻未成者俱不坐父母祖孫兄
HVH_107_12_000005_000020	矣
HVH_107_12_000005_000021	弟不惧籍之同異皆流二千里安置
HVH_107_12_000005_000022	俱徐
HVH_107_12_000005_000023	犯人财産全給充赏知而不首者杖
HVH_107_12_000005_000024	百流三千里若謀而未行首者校
HVH_107_12_000005_000025	而不首者杖一百徙三年
HVH_107_12_000005_000026	水行则事尚
HVH_107_12_000005_000027	犹故不言
HVH_107_12_000005_000028	越律例
