HVH_107_17_000004_000002	五十两杖一百流二千五百里
HVH_107_17_000004_000003	五十五两杖一百流三千里
HVH_107_17_000004_000004	入十两枝
HVH_107_17_000004_000005	娱壁
HVH_107_17_000004_000006	人财判断不為曲法者和受十人财一
HVH_107_17_000004_000007	事获通算作一處折牛科罪一主者
HVH_107_17_000004_000008	护华科罪作
HVH_107_17_000004_000009	牛折者皆依此
HVH_107_17_000004_000010	一两以下杖六十
HVH_107_17_000004_000011	一两之上至一十两杖七十
HVH_107_17_000004_000012	二十两杖八十
HVH_107_17_000004_000013	三十两杖九十
HVH_107_17_000004_000014	皇越律鸽
HVH_107_17_000004_000015	美
HVH_107_17_000004_000016	卷十七律
HVH_107_17_000004_000017	三
HVH_107_17_000004_000018	官吏变财
HVH_107_17_000004_000019	四十两杖一百
HVH_107_17_000004_000020	五十两杖六十徒一年
HVH_107_17_000004_000021	大十两杖七十徒一年牛
HVH_107_17_000004_000022	七十两杖入十徒二年
HVH_107_17_000004_000023	八十两杖九十徒二年半
HVH_107_17_000004_000024	九十两杖一百徒三年
HVH_107_17_000004_000025	一百两杖一百流二千里
HVH_107_17_000004_000026	一百一十两杖一百流二千五百里
HVH_107_17_000004_000027	一百二十两杖一百流三千里
HVH_107_17_000004_000028	一百二十两以上
HVH_107_17_000004_000029	监
HVH_107_17_000004_000030	铁
HVH_107_17_000005_000001	枉法
HVH_107_17_000005_000002	故粮之類
HVH_107_17_000005_000003	胎
HVH_107_17_000005_000004	不枉法一百二十两以上罪止杖一百
HVH_107_17_000005_000005	流三千里
HVH_107_17_000005_000006	首列有变受财罪有差等此犯
HVH_107_17_000005_000007	耻之税律乃一切因事受财之稳调
HVH_107_17_000005_000008	也若馆更因事受人财而不按本法
HVH_107_17_000005_000009	法為奸故其罪重如所受有各主之
HVH_107_17_000005_000010	七十起五阴加一等至入十两棱
HVH_107_17_000005_000011	無称人减一等至一百二十协
HVH_107_17_000005_000012	半科罪一主者苏折半科罪有先资
HVH_107_17_000005_000013	建老律创
HVH_107_17_000005_000014	巷十七律
HVH_107_17_000005_000015	四
HVH_107_17_000005_000016	官史受财
HVH_107_17_000005_000017	输光之耻後其輕若筝不再
HVH_107_17_000005_000018	一两以下自做六十起十两加一
HVH_107_17_000005_000019	至一百二十上乃较無人减
HVH_107_17_000005_000020	一等至一
HVH_107_17_000005_000021	百二十两收上罪止放
HVH_107_17_000005_000022	百流三千里枉法不枉法勇项乃官
HVH_107_17_000005_000023	楼
HVH_107_17_000005_000024	社法前以不
HVH_107_17_000005_000025	前准枉法論准不枉法論諸像也
HVH_107_17_000005_000026	條例
HVH_107_17_000005_000027	一各部院衙門書辨有敢指稱部费招
HVH_107_17_000005_000028	推撞骗干犯
HVH_107_17_000006_000001	国憲非葬常犯可比者覺審實即行處
HVH_107_17_000006_000002	爲從知情朋分銀两之人照例達
HVH_107_17_000006_000003	一凡在官人役取受有事人财律無正條
HVH_107_17_000006_000004	者果於法有縱俱以枉法計贼科罪
HVH_107_17_000006_000005	若尾親证等项不係在官人役取受
HVH_107_17_000006_000006	有事人财各依本等律科不在
HVH_107_17_000006_000007	法之律
HVH_107_17_000006_000008	一内外大小衙門富役恐嚇索詐貧民者
HVH_107_17_000006_000009	計贼一雨以下枚一百一两至五两杖
HVH_107_17_000006_000010	一百加枷號一個月六两至十两杖
