HVH_107_19_000004_000055	受受面故禁故
HVH_107_19_000004_000056	勘又当用本律以
HVH_107_19_000004_000057	者與同罪至死者减一等不知情
HVH_107_19_000004_000058	勤
HVH_107_19_000004_000059	而共
HVH_107_19_000004_000060	故人人罪反狂去
HVH_107_19_000004_000061	從重論
HVH_107_19_000004_000062	举致
HVH_107_19_000004_000063	死
HVH_107_19_000004_000064	不坐若因
HVH_107_19_000004_000065	公事于連平人在官事須問及
HVH_107_19_000004_000066	人贼仗證佐明白
HVH_107_19_000004_000067	而干之人捐
HVH_107_19_000004_000068	爲之相助匿
HVH_107_19_000004_000069	不服
HVH_107_19_000004_000070	招承明立文案依法考致死者
HVH_107_19_000004_000071	勿論
HVH_107_19_000004_000072	故謂有意故行平人謂無罪之人
HVH_107_19_000004_000073	官吏使私仇将無罪平人故
HVH_107_19_000004_000074	者杖八十因故禁面致死做中
HVH_107_19_000004_000075	馆及司微獄率措有典缴之责
HVH_107_19_000004_000076	知其执故禁之情面不舉首
HVH_107_19_000004_000077	司者與官史同以其私忘公也
HVH_107_19_000004_000078	至死者减一手放一百流三千里彩
HVH_107_19_000004_000079	與故禁者有间也其原問衙門
HVH_107_19_000004_000080	下不知實你平人而妆禁者不坐若
HVH_107_19_000004_000081	7
HVH_107_19_000005_000001	官更本换警但因公事未
HVH_107_19_000005_000002	不察誤监禁致死者杖入十原其
HVH_107_19_000005_000003	禁之誤而皇其人之死也若雖無罪
HVH_107_19_000005_000004	。
HVH_107_19_000005_000005	而干建之人反為不服招承官
HVH_107_19_000005_000006	皇越律侧三卷十九前上四
HVH_107_19_000005_000007	故禁敬平人
HVH_107_19_000005_000008	條倒
HVH_107_19_000005_000009	一承番官吏几遇一切命案盗案将平空
HVH_107_19_000005_000010	無事並無名字在官之人懷私故
HVH_107_19_000005_000011	行勘訊致死者照律提罪外倘事實無
HVH_107_19_000005_000012	干或因其人家道殷實勒詐不遂暗行
HVH_107_19_000005_000013	賄厲罪人扳刑訊致死者亦照懷挾
HVH_107_19_000005_000014	私警故勘平人致死律提监保如有
HVH_107_19_000005_000015	将于連人犯不應拷訊誤已見刑訊
HVH_107_19_000005_000016	致者依决人不如法因而死律杖
HVH_107_19_000005_000017	一百其有将干连人犯不應拷訊任意
HVH_107_19_000006_000001	拷打致者照非法做打致死律杖
HVH_107_19_000006_000002	百徙三年知有将徒流人犯拷訊致
HVH_107_19_000006_000003	二命者照决人不如法加一等杖六十
HVH_107_19_000006_000004	徒一年三命以上题加一等罪止放一
HVH_107_19_000006_000005	百徒三年其有将答杖人犯致二命
HVH_107_19_000006_000006	者照非法做打致死律加一等杖一百
HVH_107_19_000006_000007	流二千里致三命以上者选加一等
HVH_107_19_000006_000008	罪止杖一百流三千里若因公事干连
HVH_107_19_000006_000009	人犯依法拷訊进追致死或受刑之後
HVH_107_19_000006_000010	因他病而死者均照避追致死律勿
HVH_107_19_000006_000011	如有姦徒挟警告平人官吏知情受
HVH_107_19_000006_000012	皇越律创
HVH_107_19_000006_000013	禁故勘年人
HVH_107_19_000006_000014	其属託因而拷訊死者本犯依告
HVH_107_19_000006_000015	律提抵官吏照為從律满流如有告
HVH_107_19_000006_000016	平人官吏不知情依法拷訊致死者将
HVH_107_19_000006_000017	誣告之人抵官吏交部議處若被
HVH_107_19_000006_000018	之人不肯招承因面拷打照非法
HVH_107_19_000006_000019	酸打致死律定提均不得改律文内
HVH_107_19_000006_000020	懷挟私字梳混故勘平人概换重
HVH_107_19_000006_000021	辟在外不按實具题在内含糊照覆照
HVH_107_19_000006_000022	官司出八人罪律分别治罪
HVH_107_19_000007_000001	淹禁
HVH_107_19_000007_000002	凡獄四情犯七
HVH_107_19_000007_000003	在内
HVH_107_19_000007_000004	性
HVH_107_19_000007_000005	法司
HVH_107_19_000007_000006	在外督撫
HVH_107_19_000007_000007	轻
HVH_107_19_000007_000008	事理
HVH_107_19_000007_000009	徙虎死罪
HVH_107_19_000007_000010	其所犯答放
HVH_107_19_000007_000011	者限一十日内起若限外不断央不
HVH_107_19_000007_000012	起者當該官吏過三日答二十每三
HVH_107_19_000007_000013	日加一等罪止杖六十因
HVH_107_19_000007_000014	淹禁致死者若囚該死罪杖六十流罪
HVH_107_19_000007_000015	杖八十徒罪杖一百杖罪以下枚六十
HVH_107_19_000007_000016	徒一年
HVH_107_19_000007_000017	惟重四照
HVH_107_19_000007_000018	侧蓝误
HVH_107_19_000007_000019	凡在狱之四所犯请罪院已招全
HVH_107_19_000007_000020	備内经法司外轻管興容保情负
HVH_107_19_000007_000021	皇越律侧
HVH_107_19_000007_000022	卷十九律上
HVH_107_19_000007_000023	六
HVH_107_19_000007_000024	淹紫
HVH_107_19_000007_000025	当無有宽枉别無應追應勘之事理
HVH_107_19_000007_000026	所犯答杖徒流死罪奉文應断决者
HVH_107_19_000007_000027	限三日内即行断央其徙流遷徙應
HVH_107_19_000007_000028	發遣者限十日内即行發遣若過此
HVH_107_19_000007_000029	限外而不断决不起即是禁矣
HVH_107_19_000007_000030	至三日即当該官吏管二十三日
HVH_107_19_000007_000031	加一等至计五日拟止解止法计
HVH_107_19_000007_000032	不断决起除淹留禁以致死者
HVH_107_19_000007_000033	则以四罪之輕重為淹禁罪之差等
HVH_107_19_000007_000034	四死罪则杖六十流罪则杖八十
HVH_107_19_000007_000035	徒罪则杖一百杖罪以下則杖六十
HVH_107_19_000007_000036	徒一年皆罪坐当官使按庵禁致
HVH_107_19_000007_000037	死應决死罪之囚亦得杖六十罪者
HVH_107_19_000007_000038	四继合死亦当依限央使其明正
HVH_107_19_000007_000039	典刑不富淹
HVH_107_19_000007_000040	禁而死也
HVH_107_19_000007_000041	條侧
HVH_107_19_000007_000042	一凡
HVH_107_19_000007_000043	思詔颁到
HVH_107_19_000008_000001	内除已經刑部法司覆票明自應免罪
HVH_107_19_000008_000002	逐一详查登時释放另行题明外如有
HVH_107_19_000008_000003	情界可疑者限
HVH_107_19_000008_000004	散到一月丙即票疏奏请其未經法司核覆明
HVH_107_19_000008_000005	自者俟法司核覆到之日即時举
HVH_107_19_000008_000006	毋得射延時日如
HVH_107_19_000008_000007	藏到奏請遣限反将免輕罪人犯亚無辜之
HVH_107_19_000008_000008	人仍滥行监禁者交該部議
HVH_107_19_000008_000009	一九监候待簧人犯除盗案件不應
HVH_107_19_000008_000010	释外知人命捨竊等素有正犯未獲其
HVH_107_19_000008_000011	案内牵連像犯係無干即行省释不
HVH_107_19_000008_000012	皇越律例
HVH_107_19_000008_000013	卷十九
HVH_107_19_000008_000014	刑律七
HVH_107_19_000008_000015	瓷柴
HVH_107_19_000008_000016	准行监医待質若案内现獲從犯例
HVH_107_19_000008_000017	應問疑遗流徒杖等罪因证未明
HVH_107_19_000008_000018	监候待質者如遣弄已過-年徒
HVH_107_19_000008_000019	罪過五年杖罪已過三年者該管填
HVH_107_19_000008_000020	積查明谷部核覆惠遣流徒者照原
HVH_107_19_000008_000021	捷罪名即行發配應校罪者取具的保
HVH_107_19_000008_000022	释放在外俟辑獲正犯之日再行春
HVH_107_19_000008_000023	倘杖罪人犯释放後私自进匿保人照
HVH_107_19_000008_000024	不應輕律笞四十本犯獲日照原提
HVH_107_19_000008_000025	罪加號一個月發落若年限
HVH_107_19_000008_000026	恭遇
HVH_107_19_000009_000001	恩赦如在逊本犯拿獲時例得减免者待質之
HVH_107_19_000009_000002	犯准其即行查辨省释
HVH_107_19_000009_000003	皇越律倒
HVH_107_19_000009_000004	卷十九律断
HVH_107_19_000009_000005	八
HVH_107_19_000009_000006	恋票
HVH_107_19_000010_000001	陵虐罪囚
HVH_107_19_000010_000002	将注减不同枉法
HVH_107_19_000010_000003	而坐宁者衣乃
HVH_107_19_000010_000004	九問傷論
HVH_107_19_000010_000005	重定罪
HVH_107_19_000010_000006	之
HVH_107_19_000010_000007	官之日之
HVH_107_19_000010_000008	物也凡日餐家供
HVH_107_19_000010_000009	多请官给衣官
HVH_107_19_000010_000010	之所由率收
HVH_107_19_000010_000011	不諭罪德
HVH_107_19_000010_000012	司狱官典反
HVH_107_19_000010_000013	浙
HVH_107_19_000010_000014	掌有所成监守
HVH_107_19_000010_000015	自盗而何能必自
HVH_107_19_000010_000016	提半官知而不奉者奥同罪至死者
HVH_107_19_000010_000017	官者方是若山罪
HVH_107_19_000010_000018	阳之奥守不
HVH_107_19_000010_000019	一等有不知坐
HVH_107_19_000010_000020	以不應
HVH_107_19_000010_000021	用能求郊
HVH_107_19_000010_000022	而死珊齐类款
HVH_107_19_000010_000023	病之衣狼不到而
HVH_107_19_000010_000024	及死一包
HVH_107_19_000010_000025	械官給衣者計所裁之数為
HVH_107_19_000010_000026	律例卷十九
HVH_107_19_000010_000027	律上九
HVH_107_19_000010_000028	陵老罪四
HVH_107_19_000010_000029	以量守自分别首着罪目而
HVH_107_19_000010_000030	牧水最傷制减而言可官具
HVH_107_19_000010_000031	罪似意坐以不磨
HVH_107_19_000010_000032	條例
HVH_107_19_000010_000033	一九押解兵後夫人等敢放中途轰污
HVH_107_19_000010_000034	犯人妻女者依姦四婦律杖一百徒三
HVH_107_19_000010_000035	年押解官雖不知情亦交該部嚴加議
HVH_107_19_000010_000036	如押解官自犯污及陵勒财者
HVH_107_19_000010_000037	交該部從重議罪其被害犯人許赴刑
HVH_107_19_000011_000001	部並所在官司控告
HVH_107_19_000011_000002	一允狱卒有受罪人警家贈謀死本犯
HVH_107_19_000011_000003	者依謀殺人首從律治罪
HVH_107_19_000011_000004	一九犯人出监之日提半官司细加查
HVH_107_19_000011_000005	問如有禁率人等陵需索者計賊治
HVH_107_19_000011_000006	罪仍追給回犯人提半官司獄不行
HVH_107_19_000011_000007	查問事徐之日亦照失察例議處
HVH_107_19_000011_000008	一徒罪以下人犯病者獄官报用承
HVH_107_19_000011_000009	官即行赴监验者是責行令該管地方
HVH_107_19_000011_000010	官取具的保保出調治俟病即监
HVH_107_19_000011_000011	審結其外解人犯無人保出者合其散
HVH_107_19_000011_000012	皇越律例一卷十九
HVH_107_19_000011_000013	刑律首十
HVH_107_19_000011_000014	罪
HVH_107_19_000011_000015	處外監加意調治如獄官不即呈報及
HVH_107_19_000011_000016	承官不即验看保释者俱照淹禁律
HVH_107_19_000011_000017	治罪若本犯無病而串通獄官醫生
HVH_107_19_000011_000018	稱有病者該犯并獄官醫生俱照病
HVH_107_19_000011_000019	避事律治罪或病已痊愈而該管地方
HVH_107_19_000011_000020	官不即选监結者将本犯及該管地
HVH_107_19_000011_000021	方官亦俱照詐病避事律治罪若保出
HVH_107_19_000011_000022	故縱者将保人治以本犯應得之罪
HVH_107_19_000011_000023	脱者减二等仍将取保不的之該管地方
HVH_107_19_000011_000024	官题議庭若有受賄情弊計賦以枉
HVH_107_19_000011_000025	法從重論至所在官司提報监人犯
HVH_107_19_000012_000001	将本犯所犯罪名所患病症及有無陵
HVH_107_19_000012_000002	鲁否保釋逐一聲明如有滕情弊
HVH_107_19_000012_000003	查出交部分别議處
HVH_107_19_000012_000004	皇越律例
HVH_107_19_000012_000005	卷十九刑律上
HVH_107_19_000012_000006	土
HVH_107_19_000012_000007	陵虎吴国
HVH_107_19_000013_000001	典四金刃解脱
HVH_107_19_000013_000002	九狱卒以金刃及他物
HVH_107_19_000013_000003	如
HVH_107_19_000013_000004	之颊儿
HVH_107_19_000013_000005	及解脱鎖之具而興四者杖一百
HVH_107_19_000013_000006	因而致囚在进及
HVH_107_19_000013_000007	自傷或傷人者
HVH_107_19_000013_000008	山
HVH_107_19_000013_000009	並杖六十徒一年若四
HVH_107_19_000013_000010	概
HVH_107_19_000013_000011	中
HVH_107_19_000013_000012	自者杖
HVH_107_19_000013_000013	救人者
HVH_107_19_000013_000014	及狱
