HVH_105_000006_000007	席俗名席亦以作帆其席亦如京北廣见席
HVH_105_000006_000008	山林好木最多有名柯木色黄最好坠厚可作册板
HVH_105_000006_000009	入水常浮有名皮度木直而硬細腻耐久作柱下地
HVH_105_000006_000010	里魂具
HVH_105_000006_000011	百年不朽犁花木名侧密文理细腻有味如炙性
HVH_105_000006_000012	不朽多以作箱函椅卓有名台拜木細款色白如象牙
HVH_105_000006_000013	可屈不可折可作戰梢長棍
HVH_105_000006_000014	新平府二縣二州
HVH_105_000006_000015	太王改廣平
HVH_105_000006_000016	豊藏縣
HVH_105_000006_000017	古棠缘大鹅
HVH_105_000006_000018	七十六
HVH_105_000006_000019	水縣
HVH_105_000006_000020	入证二座
HVH_105_000006_000021	五稳二十
HVH_105_000006_000022	明靈州
HVH_105_000006_000023	二十八社
HVH_105_000006_000024	今為五
HVH_105_000006_000025	布政州
HVH_105_000006_000026	四越
HVH_105_000006_000027	今政篇
HVH_105_000006_000028	府在顺化之北與安夹界以江限南布政州上
HVH_105_000006_000029	连山下临大海万道下沙高起黄展民居一带山
HVH_105_000006_000030	裕照日光国城自同海市之左至海口
HVH_105_000007_000001	其中邮树术质奇典豊地在上
HVH_105_000007_000002	游層山蒼然爲顺化哀牢分界處日水明靈二縣俱
HVH_105_000007_000003	夾海際柴壘上自洞册嶺下至日海門高火五尺延
HVH_105_000007_000004	袤二千餘丈
HVH_105_000007_000005	孝文王时所築外植柴内植鐵林木其壘築土梯五
HVH_105_000007_000006	每層高一尺五寸象馬通行其上土壘聯絡間立砲
HVH_105_000007_000007	臺又上置巨門统景興南平時已渐刻平設洞海屯于
HVH_105_000007_000008	因曹外苑磚石極其嚴暖其往來関門
HVH_105_000007_000009	内售有屯在花舍號营近依山带江地亦廣營
HVH_105_000007_000010	星志地奥志
HVH_105_000007_000011	葛营皆
HVH_105_000007_000012	前南列王新拓
HVH_105_000007_000013	海营在荣江
HVH_105_000007_000014	营在心舍
HVH_105_000007_000015	今亦爲营之所其由
HVH_105_000007_000016	則横山釜山丁山磊雷山真靈嗣馬鞍山莲山震
