HVH_107_03_000004_000025	罪以下者准其收贖一次詳檔案若
HVH_107_03_000004_000026	收贖之後復行犯罪除因人連累過誤
HVH_107_03_000005_000001	八罪者仍准其照例收贖外知係有心
HVH_107_03_000005_000002	再犯即各照應得罪各按律克配不准
HVH_107_03_000005_000003	再行收贖
HVH_107_03_000005_000004	皇越律创
HVH_107_03_000005_000005	卷三名钢律下
HVH_107_03_000005_000006	四
HVH_107_03_000005_000007	老小长收購
HVH_107_03_000006_000001	犯罪聘未老疾
HVH_107_03_000006_000002	凡犯罪時雄未老疾而事發時老疾者依
HVH_107_03_000006_000003	老疾
HVH_107_03_000006_000004	事或無疾時犯罪有摩疾酸
HVH_107_03_000006_000005	謂如六十九以下犯罪年七十
HVH_107_03_000006_000006	事得饮老疾收顺或七十九以下犯
HVH_107_03_000006_000007	死罪入十事或疾時犯罪疾時
HVH_107_03_000006_000008	七十或入徒無病徒设年内成
HVH_107_03_000006_000009	磨疾鱼雀老疾收贖以徒一年三百
HVH_107_03_000006_000010	腰银若干俱照钢折役收贖
HVH_107_03_000006_000011	初小事發時長大使勿小論
HVH_107_03_000006_000012	犯死入
HVH_107_03_000006_000013	請如七歲
HVH_107_03_000006_000014	歲事勿論十歲人十一歲事臻仍
HVH_107_03_000006_000015	得上請十五歲時作賊十六歲事仍
HVH_107_03_000006_000016	以膜
HVH_107_03_000006_000017	論
HVH_107_03_000006_000018	星律饰
HVH_107_03_000006_000019	1
HVH_107_03_000006_000020	卷三名制下
HVH_107_03_000006_000021	王
HVH_107_03_000006_000022	他罪特来炎
HVH_107_03_000006_000023	條之甚明犯罪雌在未老疾之
HVH_107_03_000006_000024	消而受刑巳在老疾之日即以老疾
HVH_107_03_000006_000025	中中8
HVH_107_03_000006_000026	大十徒一年全銀一五分
HVH_107_03_000006_000027	而奶黑切断蓝老疾则英
HVH_107_03_000006_000028	已往仁之至地
HVH_107_03_000006_000029	科断不输其犯罪特也徒年限内
