HVH_107_20_000010_000008	十更典为首合坐剩答四十未决者交
HVH_107_20_000010_000009	减一等合坐吏典首罪答三十
HVH_107_20_000010_000010	九失增答從徒如犯答一十失增作杖
HVH_107_20_000010_000011	百徒三年失入减三等杖七十徒一年
HVH_107_20_000010_000012	皇越律倒
HVH_107_20_000010_000013	卷干
HVH_107_20_000010_000014	样新放下
HVH_107_20_000010_000015	九
HVH_107_20_000010_000016	官间出大人罪
HVH_107_20_000010_000017	半折杖一百四十除犯該答一十更典
HVH_107_20_000010_000018	爲首合坐剩杖一百三十未决者及减
HVH_107_20_000010_000019	一等杖六十徒一年析杖一百二十除
HVH_107_20_000010_000020	犯落答一十合坐吏興首罪杖一百
HVH_107_20_000010_000021	十增杖從徒做此
HVH_107_20_000010_000022	几失增杖從流如犯杖一百失增作杖一
HVH_107_20_000010_000023	百流三千里失九减三等枝八十徒二
HVH_107_20_000010_000024	年折杖一百六十除犯該杖一百吏興
HVH_107_20_000010_000025	爲首合坐剩杖六十未决者义减一等
HVH_107_20_000010_000026	杖七十徒一年年折杖一百四十除犯
HVH_107_20_000010_000027	該杖一百介坐吏興首罪答四
HVH_107_20_000011_000001	儿失增輕徒從重徒如犯杖六十徒一年
HVH_107_20_000011_000002	折杖二十失增作杖一百徒三年失人
HVH_107_20_000011_000003	减三等杖七十徒一年半徒二等折放
HVH_107_20_000011_000004	四十除犯該杖二十吏典爲首合坐剩
HVH_107_20_000011_000005	管二十首领官藏一等答一十佐贰官
HVH_107_20_000011_000006	减盡無科未央者又减一等杖六十徒
HVH_107_20_000011_000007	一年則奥本該罪各同矣维吏典亦减
HVH_107_20_000011_000008	盡無科以徒從徒及以徒從流俱不包
HVH_107_20_000011_000009	杖一百之数
HVH_107_20_000011_000010	九失增徒從流如犯杖六十徒一年析
HVH_107_20_000011_000011	二十先增作杖一百流三千里失久减
HVH_107_20_000011_000012	皇越律
HVH_107_20_000011_000013	卷十
HVH_107_20_000011_000014	律敬下
HVH_107_20_000011_000015	十
HVH_107_20_000011_000016	官司窃九人吴
HVH_107_20_000011_000017	三等杖八十徒二年折杖六十除犯
HVH_107_20_000011_000018	二十吏典為首合坐剩答四十未央
HVH_107_20_000011_000019	者及减一等杖七十徒一年年折杖四
HVH_107_20_000011_000020	十除犯該杖二十合坐吏典首罪二
HVH_107_20_000011_000021	十
HVH_107_20_000011_000022	儿失增答杖徒流入死如死因已央者亦
HVH_107_20_000011_000023	减三等若未决及因自死及减一等吏
HVH_107_20_000011_000024	典篇首其臧至徒罪亦析杖除之
HVH_107_20_000011_000025	九失减杖從答如犯杖一百先减作答三
HVH_107_20_000011_000026	十失出减五等答五十除得答三十
HVH_107_20_000011_000027	吏典爲首合坐剩答二十未放者及
HVH_107_20_000012_000001	一等答回十除已得答三·合坐更典
HVH_107_20_000012_000002	首罪答一十
HVH_107_20_000012_000003	无夫减徒從答如犯杖七十徒一年牛失
HVH_107_20_000012_000004	减作答二十失出藏五等杖七十除巴
HVH_107_20_000012_000005	得答二十更典爲首合坐剩答五十未
HVH_107_20_000012_000006	放者及减一等杖六一除已得二十
HVH_107_20_000012_000007	合坐史典首罪答四十减徒從杖做此
HVH_107_20_000012_000008	九失减流從如犯杖一百流三千里失
HVH_107_20_000012_000009	减作答一十失减五等杖六十徒
HVH_107_20_000012_000010	年折杖一百二十除巳得答一十更典
HVH_107_20_000012_000011	首合坐剩杖一百一十未放者及戒
HVH_107_20_000012_000012	皇越律侧
HVH_107_20_000012_000013	卷干
HVH_107_20_000012_000014	自律街发下
HVH_107_20_000012_000015	官出入人平
HVH_107_20_000012_000016	一等杖一百除已得答一十合坐更典
HVH_107_20_000012_000017	首罪杖九十
HVH_107_20_000012_000018	九失减流從徒如犯杖一百流三千里失
HVH_107_20_000012_000019	减作杖六十徒一年失出五等杖六
HVH_107_20_000012_000020	十徒一年更典爲首减書無科
HVH_107_20_000012_000021	九失减死罪從流徒杖答加死因已放者
HVH_107_20_000012_000022	亦减五等若未放及放面復穫或因自
HVH_107_20_000012_000023	死者又减一等其徒亦折杖除之
HVH_107_20_000012_000024	按故增爷旋两官使合坐剩校
HVH_107_20_000012_000025	百三十其剩罪俱全低不在妆胎
HVH_107_20_000012_000026	之限所謂全抵者非杖以上决
HVH_107_20_000012_000027	卷儿增答杖促旋械徒從答及
HVH_107_20_000012_000028	增藏维者徒一等断二十
HVH_107_20_000012_000029	所對杖数至满校以上制或杖
HVH_107_20_000013_000001	從如判社一百一十作答五十徒
HVH_107_20_000013_000002	一年一百二十應作教六十徒一年
HVH_107_20_000013_000003	一百三十應作杖六十徒一年十一
HVH_107_20_000013_000004	百四十應作杖七十徒年半之其
HVH_107_20_000013_000005	增答教徒作流减流作答被徒及增
HVH_107_20_000013_000006	藏流徒者每流一等折徒年年如犯
HVH_107_20_000013_000007	答一十故增作流二千五百里流二
HVH_107_20_000013_000008	等折徒一年三流原包五徒除已得
HVH_107_20_000013_000009	第一十合坐剩罪狱九十徒四年如
HVH_107_20_000013_000010	流三里故城作答二十流三等
HVH_107_20_000013_000011	赤徙年半三流原包五徒除已得答
HVH_107_20_000013_000012	二十仍坐罪杖几十徒四年牛之
HVH_107_20_000013_000013	類故日全抵剩罪不在收赎之限總
HVH_107_20_000013_000014	之徒不得至五年面失教不得遇
HVH_107_20_000013_000015	一百
HVH_107_20_000013_000016	也
HVH_107_20_000013_000017	條侧
HVH_107_20_000013_000018	一承备官改造口供故行出入者革職故
HVH_107_20_000013_000019	入死罪已央者抵以死罪其草率定案
HVH_107_20_000013_000020	皇题律侧
HVH_107_20_000013_000021	拳
HVH_107_20_000013_000022	别律狱下
HVH_107_20_000013_000023	士
HVH_107_20_000013_000024	司岗久人
HVH_107_20_000013_000025	証無枉坐人罪者亦革
HVH_107_20_000013_000026	一几初次供招不許擅自删改俱應詳载
HVH_107_20_000013_000027	揭帖若承問官增减原供希圖结案所
HVH_107_20_000013_000028	在官依樣轉詳上司最察题不行察
HVH_107_20_000013_000029	悉将上司交部一併議庭所在官亦不
HVH_107_20_000013_000030	得借招之名故为删改倘遇有意義
HVH_107_20_000013_000031	不明序次不順與情罪並無干礙即就
HVH_107_20_000013_000032	近核正申轉對改本備案不得换销
HVH_107_20_000013_000033	毁者依改造口供故行出入例議處
HVH_107_20_000013_000034	一九謀反謀叛之罪照律連坐籍浚其餘
HVH_107_20_000013_000035	情罪载律丙俱應照律提議不得存
HVH_107_20_000014_000001	心陷害借言情罪重大趣指朋黨議
HVH_107_20_000014_000002	株连艾母兄第妻子籍没家童若承
HVH_107_20_000014_000003	官於本罪外捏造此等言語株連
HVH_107_20_000014_000004	兄弟妻子籍没家産者即照故入人死
HVH_107_20_000014_000005	罪律治罪
HVH_107_20_000014_000006	皇越律侧
HVH_107_20_000014_000007	卷干
HVH_107_20_000014_000008	所律级下
HVH_107_20_000014_000009	三
HVH_107_20_000014_000010	窄河育人人
HVH_107_20_000015_000001	辩明克枉
HVH_107_20_000015_000002	几内外問刑衙門辨明枉須要開具
HVH_107_20_000015_000003	所枉事蹟封奏用委官追問得
HVH_107_20_000015_000004	证
HVH_107_20_000015_000005	為其若所罪重
HVH_107_20_000015_000006	朦辯明者杖一百徒三年
HVH_107_20_000015_000007	告原问官
HVH_107_20_000015_000008	杖一百
HVH_107_20_000015_000009	年者以
HVH_107_20_000015_000010	源
HVH_107_20_000015_000011	日
HVH_107_20_000015_000012	同罪
HVH_107_20_000015_000013	重論不知者不坐
HVH_107_20_000015_000014	如原犯
HVH_107_20_000015_000015	内外問尚門群明狂乃其责用
HVH_107_20_000015_000016	所建為者然须用其木化枉事
HVH_107_20_000015_000017	得宽被诬之人依准改正所枉之
HVH_107_20_000015_000018	皇越律侧
HVH_107_20_000015_000019	卷三干
HVH_107_20_000015_000020	刑作新狱下
HVH_107_20_000015_000021	十四
HVH_107_20_000015_000022	辩明宪在
HVH_107_20_000015_000023	反坐原告如告律原問官以出
HVH_107_20_000015_000024	人人荣给失者坐大係故者坐
HVH_107_20_000015_000025	故罪。若事情本無宪周刑為
HVH_107_20_000015_000026	其群明者狱一百徒年既
HVH_107_20_000015_000027	知考
HVH_107_20_000015_000028	不坐
HVH_107_20_000015_000029	條侧
HVH_107_20_000015_000030	-法司几遇一應稱調問及各衙門奏
HVH_107_20_000015_000031	送人犯如有冤枉及情罪有可疑者
HVH_107_20_000015_000032	即與辯理具奏落势物成案若明知
HVH_107_20_000015_000033	免枉不與辩理若以故人人罪論
HVH_107_20_000015_000034	一法司遇有重四稱原問官員軟難辨
HVH_107_20_000016_000001	理者許奏請
HVH_107_20_000016_000002	放下朝堂公同辩理果有宪枉及情可疑者
HVH_107_20_000016_000003	請
HVH_107_20_000016_000004	首定李
HVH_107_20_000016_000005	皇龙律创
HVH_107_20_000016_000006	一卷二十年新
HVH_107_20_000016_000007	主
HVH_107_20_000016_000008	明祥宽狂
HVH_107_20_000017_000001	有司央囚等第
HVH_107_20_000017_000002	問明白
HVH_107_20_000017_000003	而
HVH_107_20_000017_000004	追勘全備軍流
HVH_107_20_000017_000005	徒罪各從府州縣央配至死罪者在
HVH_107_20_000017_000006	法司定議在外聽督撰容錄無依律
HVH_107_20_000017_000007	議模
HVH_107_20_000017_000008	断彼
HVH_107_20_000017_000009	怕
HVH_107_20_000017_000010	法司覆勘定奏回報
HVH_107_20_000017_000011	委官處央故不央者六十〇
HVH_107_20_000017_000012	應立
HVH_107_20_000017_000013	其同誉
HVH_107_20_000017_000014	録之際
HVH_107_20_000017_000015	若犯人反異
HVH_107_20_000017_000016	宪便
HVH_107_20_000017_000017	官
HVH_107_20_000017_000018	共再
HVH_107_20_000017_000019	推事果同
HVH_107_20_000017_000020	原問原官吏通問改正
HVH_107_20_000017_000021	同原尚
HVH_107_20_000017_000022	原睿文官
HVH_107_20_000017_000023	闪
HVH_107_20_000017_000024	数其果
