HVH_107_02_000004_000033	依律例科斷其公事失錯因人連累及
HVH_107_02_000005_000001	過誤致罪者悉准納贖各回職爲僧爲
HVH_107_02_000005_000002	道
HVH_107_02_000005_000003	一婦女犯姦仗罪的决枷罪收贖
HVH_107_02_000005_000004	一凡律例開明准納贖不准納贖者仍照
HVH_107_02_000005_000005	藍遵行外其律例内未經開載者問刑
HVH_107_02_000005_000006	官臨時詳審情罪應准納贖者聽其納
HVH_107_02_000005_000007	贖不應准納贖者照律的决發落如承
HVH_107_02_000005_000008	問官濫准納贖者交該部議處多取肥
HVH_107_02_000005_000009	已者計贓科罪
HVH_107_02_000005_000010	一婦人有犯姦盗不孝者各依律决罸其
HVH_107_02_000005_000011	餘有犯笞杖龜徒流充軍雜犯死罪該
HVH_107_02_000005_000012	塵越律例
HVH_107_02_000005_000013	天卷一名例幸上
HVH_107_02_000005_000014	四
HVH_107_02_000005_000015	五將
HVH_107_02_000005_000016	决杖一百者與命婦官員正妻俱准納
HVH_107_02_000005_000017	贖
HVH_107_02_000006_000001	十惡
HVH_107_02_000006_000002	稱註周官曰斷五刑
HVH_107_02_000006_000003	謂謀危
HVH_107_02_000006_000004	之必原父子之親
HVH_107_02_000006_000005	一曰謀反
HVH_107_02_000006_000006	社稷
HVH_107_02_000006_000007	君臣之義又曰凡制
HVH_107_02_000006_000008	社稷者天下之辭社爲土神稷爲田
HVH_107_02_000006_000009	五刑必即天偷此條
HVH_107_02_000006_000010	正所以神地道而司稼稽君爲神主
HVH_107_02_000006_000011	所皆熙君無親反
HVH_107_02_000006_000012	食爲民天臣下將圖逆節危及天下
HVH_107_02_000006_000013	陶亂德天地所不容
HVH_107_02_000006_000014	則社稷安恃不敢指斥故曰社稷也
HVH_107_02_000006_000015	神人圻共横者故特
HVH_107_02_000006_000016	一謂謀毀宗廟
HVH_107_02_000006_000017	表而出之以爲世戒
HVH_107_02_000006_000018	二曰謀大逆
HVH_107_02_000006_000019	山陵及宫嗣
HVH_107_02_000006_000020	注十意不必皆極
HVH_107_02_000006_000021	典也如不敬内合御
HVH_107_02_000006_000022	一人之辭敢謀及此逆莫大焉
HVH_107_02_000006_000023	宗廟山陵者先君之辭宫闕者
HVH_107_02_000006_000024	藥談不依本方等項
HVH_107_02_000006_000025	謂謀背本國
HVH_107_02_000006_000026	不孝內別籍異財
HVH_107_02_000006_000027	三曰謀叛
HVH_107_02_000006_000028	潛從他國
HVH_107_02_000006_000029	項不睦内國告夫等
HVH_107_02_000006_000030	叛者背也或欲翻城
HVH_107_02_000006_000031	項不義内聞夫喪匿
HVH_107_02_000006_000032	投僞或欲率眾外奔
HVH_107_02_000006_000033	不舉哀等項皆罪不
HVH_107_02_000006_000034	謂殿及謀役祖父母父母夫之
HVH_107_02_000006_000035	至死者罪至死者固
HVH_107_02_000006_000036	四曰惡逆
HVH_107_02_000006_000037	祖父母父母殺伯叔父母姑兄
HVH_107_02_000006_000038	爲法所難省即罪不
HVH_107_02_000006_000039	姊外祖父
HVH_107_02_000006_000040	至死者亦俱有乖倫
HVH_107_02_000006_000041	母及夫者
HVH_107_02_000006_000042	理故特揭其名于律
HVH_107_02_000006_000043	茂絕人倫傷殘天性逞惡肆逆故曰
HVH_107_02_000006_000044	首使人知所敬也
HVH_107_02_000006_000045	惡遊伯叔以下殺字不分謀故段
HVH_107_02_000006_000046	皇越律例
HVH_107_02_000006_000047	例卷二名上
HVH_107_02_000006_000048	五
HVH_107_02_000006_000049	十惡
HVH_107_02_000006_000050	五曰不道
HVH_107_02_000006_000051	人若探生折割造畜蠱毒露
HVH_107_02_000006_000052	謂殺一家非死罪三人及支解
HVH_107_02_000006_000053	咒忍殘賊背棄
HVH_107_02_000006_000054	正道故曰不道
HVH_107_02_000006_000055	六曰大不敬
HVH_107_02_000006_000056	謂盗大祀神御之物乘與服
HVH_107_02_000006_000057	御物盗及僞造御寶合和御
HVH_107_02_000006_000058	藥誤不依本方及封題錯誤若造御
HVH_107_02_000006_000059	腦誤犯食禁御幸舟船誤不陸固
HVH_107_02_000006_000060	大龍神御物天祖之所憑乘與服御
HVH_107_02_000006_000061	物人君之所用而御實所關尤大盗
HVH_107_02_000006_000062	及僞造罪故至重如合和御藥等項
HVH_107_02_000006_000063	雖出於誤而亦爲不敬蓋臣之於君
HVH_107_02_000006_000064	凡事皆當敬謹議必由
HVH_107_02_000006_000065	於輕忽不敬莫大焉
HVH_107_02_000006_000066	七曰不孝
HVH_107_02_000006_000067	祖父母父母及祖父母父母在
HVH_107_02_000006_000068	謂告言咒罵祖父毋父母夫之
HVH_107_02_000006_000069	别籍異財若奉養有缺居父母喪身自
HVH_107_02_000006_000070	嫁娶若作樂釋服從吉聞祖父毋父母
HVH_107_02_000006_000071	喪匿不舉哀詐稱
HVH_107_02_000006_000072	祖父母父母死
HVH_107_02_000006_000073	不孝之事多矣註特舉
HVH_107_02_000006_000074	律之所載者言之耳
HVH_107_02_000007_000001	八曰不睦
HVH_107_02_000007_000002	夫及大功以上尊長小功尊屬
HVH_107_02_000007_000003	謂謀殺及賣穩麻以上親陵告
HVH_107_02_000007_000004	此條皆親屬相爲九族不相協和
HVH_107_02_000007_000005	故曰不睦單幼犯上則重尊長犯下
HVH_107_02_000007_000006	則
HVH_107_02_000007_000007	輕
HVH_107_02_000007_000008	九曰不義
HVH_107_02_000007_000009	軍士殺本管官吏卒殺本部五
HVH_107_02_000007_000010	謂部民殺本屬知府知州知縣
HVH_107_02_000007_000011	品以上長官若殺見受業師及聞夫喪
HVH_107_02_000007_000012	匿不舉哀若作樂釋服從吉及攺嫁
HVH_107_02_000007_000013	此條所犯部屬師生夫婦原非天
HVH_107_02_000007_000014	合以義相雜背義而行故曰不義
HVH_107_02_000007_000015	十曰内亂
HVH_107_02_000007_000016	同父祖妾及與和者
HVH_107_02_000007_000017	几謂姦小功以上親
HVH_107_02_000007_000018	禽獸其行朋淫于家紊亂禮經故
HVH_107_02_000007_000019	曰内亂小功以上兼内外親言
HVH_107_02_000007_000020	皇越律倒
HVH_107_02_000007_000021	卷二名例律上
HVH_107_02_000007_000022	六
