HVH_107_21_000004_000010	用桐木为之不杖者不用
HVH_107_21_000004_000011	以疏草或麻為之
HVH_107_21_000004_000012	為母服三年而衰则齊者不敢增于天也今制为父母俱斬而齊
HVH_107_21_000004_000013	衰期年之服矣然不獨期年之褒服齐衰又有齊衰五月齊衰三
HVH_107_21_000004_000014	月者高曾祖父毋與之尊異于常親故服之月之降而服制
HVH_107_21_000004_000015	不為之降不敢以卑者之服尚尊者服也
HVH_107_21_000004_000016	大功九月大功者以為之用功粗大谷之服以九月為物之終也
HVH_107_21_000004_000017	小功五月小功者其布用功細小自大功而降服以五月為陽之終也
HVH_107_21_000004_000018	總麻麻冶其緩細如也古總麻二字通用以極細蒸布如级者
HVH_107_21_000004_000019	衣乃五服皮之極輕者服以三月為季之終也
HVH_107_21_000004_000020	祝見
HVH_107_21_000004_000021	比五服之也免音服輕于總其制以市廣一寸
HVH_107_21_000004_000022	從項中而前交于额又却向後而于也几同五世祖族属在麻即為
HVH_107_21_000004_000023	絕服此处為祖免親遇則服素服尺布疆頭尺布纏頭不成服也
HVH_107_21_000004_000024	7
HVH_107_21_000004_000025	0
HVH_107_21_000005_000001	0
HVH_107_21_000005_000002	0
HVH_107_21_000005_000003	享
HVH_107_21_000005_000004	族兄弟
HVH_107_21_000005_000005	五族九宗本
HVH_107_21_000005_000006	祖
HVH_107_21_000005_000007	嫡孩父卒祖毋承
HVH_107_21_000005_000008	曾祖伯
HVH_107_21_000005_000009	膏泉
HVH_107_21_000005_000010	叔艾母
HVH_107_21_000005_000011	麻
HVH_107_21_000005_000012	曾祖
HVH_107_21_000005_000013	音衰
HVH_107_21_000005_000014	艾母
HVH_107_21_000005_000015	伯叔
HVH_107_21_000005_000016	小功
HVH_107_21_000005_000017	總庄
HVH_107_21_000005_000018	祖
HVH_107_21_000005_000019	新
HVH_107_21_000005_000020	文
HVH_107_21_000005_000021	伯叔
HVH_107_21_000005_000022	父母
HVH_107_21_000005_000023	期年
HVH_107_21_000005_000024	小功
HVH_107_21_000005_000025	族兄弟妻
HVH_107_21_000005_000026	堂风形要
HVH_107_21_000005_000027	無服
HVH_107_21_000005_000028	兄弟期
HVH_107_21_000005_000029	己
HVH_107_21_000005_000030	堂翅雲
HVH_107_21_000005_000031	子
HVH_107_21_000005_000032	超要大
HVH_107_21_000005_000033	物
HVH_107_21_000005_000034	W
HVH_107_21_000005_000035	儿男為人後者為生親属
HVH_107_21_000005_000036	期
HVH_107_21_000005_000037	商孤杨
HVH_107_21_000005_000038	娃孫
HVH_107_21_000005_000039	如识要
HVH_107_21_000005_000040	無服
HVH_107_21_000005_000041	底
HVH_107_21_000005_000042	曾娃
HVH_107_21_000005_000043	曾
HVH_107_21_000005_000044	曾
HVH_107_21_000005_000045	緦麻
HVH_107_21_000005_000046	無服
HVH_107_21_000005_000047	網底
HVH_107_21_000005_000048	元孫
HVH_107_21_000005_000049	重服新三年若為高伯
HVH_107_21_000005_000050	曾祖交母承重服亦同
HVH_107_21_000005_000051	總麻
HVH_107_21_000005_000052	再提兄弟
HVH_107_21_000005_000053	再從兄弟妻
HVH_107_21_000005_000054	2
HVH_107_21_000005_000055	無服
HVH_107_21_000005_000056	再埋要
HVH_107_21_000005_000057	無服
HVH_107_21_000005_000058	孝服背降一等本生
HVH_107_21_000005_000059	祖母
HVH_107_21_000005_000060	族伯叔
HVH_107_21_000005_000061	堂叔人母
HVH_107_21_000005_000062	堂兄弟
HVH_107_21_000005_000063	大功
HVH_107_21_000005_000064	堂堤功
HVH_107_21_000005_000065	堂经环妻
HVH_107_21_000005_000066	EM
HVH_107_21_000006_000001	®
HVH_107_21_000006_000002	G
HVH_107_21_000006_000003	圖之服正服
HVH_107_21_000006_000004	姑姉妹女及孫女在室或
HVH_107_21_000006_000005	已出嫁被出而歸服並男
HVH_107_21_000006_000006	子同出嫁無夫與子為兄弟姉妹
HVH_107_21_000006_000007	皆不期
HVH_107_21_000006_000008	三月
HVH_107_21_000006_000009	一五月不核期年年、
HVH_107_21_000006_000010	出嫁無服出旅總底出小
HVH_107_21_000006_000011	在空床在空小功
HVH_107_21_000006_000012	在空底在空小功在空
HVH_107_21_000006_000013	出無服出嫁總成出無服
HVH_107_21_000006_000014	族姑
HVH_107_21_000006_000015	出嫁無
HVH_107_21_000006_000016	族姉妹
HVH_107_21_000006_000017	左空
HVH_107_21_000006_000018	再從再從接
HVH_107_21_000006_000019	子最孩琳曾孫婦元孫
HVH_107_21_000006_000020	為祖及高曾祖不降爲
HVH_107_21_000006_000021	為兄弟之妻不降
HVH_107_21_000006_000022	兄弟之為父後者不降
HVH_107_21_000006_000023	父母父母父母
HVH_107_21_000006_000024	母
HVH_107_21_000006_000025	身
HVH_107_21_000006_000026	曾祖姑
HVH_107_21_000006_000027	在室麻在空小
HVH_107_21_000006_000028	相姑
HVH_107_21_000006_000029	在室期年
HVH_107_21_000006_000030	姑
HVH_107_21_000006_000031	在空期年
HVH_107_21_000006_000032	妹
HVH_107_21_000006_000033	在重期年
HVH_107_21_000006_000034	好女
HVH_107_21_000006_000035	在空小功
HVH_107_21_000006_000036	娃孫女曾娃孙女
HVH_107_21_000006_000037	在室度
HVH_107_21_000006_000038	出效無服出效底出旅大功
HVH_107_21_000006_000039	出嫁大功出大功
HVH_107_21_000006_000040	出效点
HVH_107_21_000006_000041	出無服
HVH_107_21_000006_000042	族祖苑
HVH_107_21_000006_000043	堂姑
HVH_107_21_000006_000044	堂姉妹堂女
HVH_107_21_000006_000045	堂姓女儿五世祖族属在總
HVH_107_21_000006_000046	有本身而上曰父祖曾高自本身而下曰子孩曾元此本宗九族之服制也
HVH_107_21_000006_000047	律称祖者同称孫者曾元同曾高祖曾元孫照祖宗同科不依服制
HVH_107_21_000006_000048	各律有不開載祖父母而統称期親尊長者高曾亦同也
HVH_107_21_000006_000049	朝註
HVH_107_21_000006_000050	嫡孩承重無嫡長則以嫡次不以庶長也若長房絕嗣則為立
HVH_107_21_000006_000051	承重次房無承重之礼须细参官员衰蔭者立嫡遣法二條
HVH_107_21_000006_000052	朝為人後之子出嫁之女為本宗之宗之親皆降服一等惟出嫁女
HVH_107_21_000006_000053	為祖父毋曾高祖父母及兄弟之為父後者不降然為後出嫁與
HVH_107_21_000006_000054	本宗生相有依降服論者有不依降服論者自照本谷律
HVH_107_21_000006_000055	E
HVH_107_21_000007_000001	本宗五眼以外相侵犯照無服親定外姻属必内載明無服者方准後減
HVH_107_21_000007_000002	夫族兄弟
HVH_107_21_000007_000003	妻女夫為祖父母及高曾祖父
HVH_107_21_000007_000004	母承重者提夫服
HVH_107_21_000007_000005	夫族伯叔夫再徒兄夫再
HVH_107_21_000007_000006	祖父母
HVH_107_21_000007_000007	無服
HVH_107_21_000007_000008	弟
HVH_107_21_000007_000009	無服
HVH_107_21_000007_000010	無服
HVH_107_21_000007_000011	無服
HVH_107_21_000007_000012	麻满夫母舅女母嫂服恶麻
HVH_107_21_000007_000013	首礼要為夫外祖父母服認
HVH_107_21_000007_000014	今制俱無、
HVH_107_21_000007_000015	夫族伯权夫堂伯叔
HVH_107_21_000007_000016	祖文母
HVH_107_21_000007_000017	無服
HVH_107_21_000007_000018	父母
HVH_107_21_000007_000019	認麻
HVH_107_21_000007_000020	夫堂第夫堂好夫堂姓
HVH_107_21_000007_000021	及妻
HVH_107_21_000007_000022	腮麻
HVH_107_21_000007_000023	孫總麻
HVH_107_21_000007_000024	夫当伯权
HVH_107_21_000007_000025	祖父母
HVH_107_21_000007_000026	無服
HVH_107_21_000007_000027	夫伯叔祖夫伯叔父
HVH_107_21_000007_000028	父母
HVH_107_21_000007_000029	麻、
HVH_107_21_000007_000030	大功
HVH_107_21_000007_000031	母
HVH_107_21_000007_000032	及要
HVH_107_21_000007_000033	小功
HVH_107_21_000007_000034	孫思麻
HVH_107_21_000007_000035	夫高祖夫曾祖夫祖
HVH_107_21_000007_000036	總
HVH_107_21_000007_000037	總
HVH_107_21_000007_000038	大靳衰
HVH_107_21_000007_000039	舅
HVH_107_21_000007_000040	二
HVH_107_21_000007_000041	夫君
HVH_107_21_000007_000042	长子
HVH_107_21_000007_000043	長于
HVH_107_21_000007_000044	绿琳
HVH_107_21_000007_000045	曾總元思
HVH_107_21_000007_000046	0
HVH_107_21_000008_000001	1
HVH_107_21_000008_000002	©
HVH_107_21_000008_000003	父母父母父母姑
HVH_107_21_000008_000004	麻
HVH_107_21_000008_000005	要衣夜
HVH_107_21_000008_000006	权
HVH_107_21_000008_000007	孙麻孙
HVH_107_21_000008_000008	圖服族
HVH_107_21_000008_000009	男妇降服大功
HVH_107_21_000008_000010	失为人後為本生
HVH_107_21_000008_000011	夫曾祖姑夫祖
HVH_107_21_000008_000012	無服
HVH_107_21_000008_000013	出嫁無服
HVH_107_21_000008_000014	夫族姑夫再従城味夫從经
HVH_107_21_000008_000015	在室妈康
HVH_107_21_000008_000016	夫姑
HVH_107_21_000008_000017	無服
HVH_107_21_000008_000018	夫姉妹夫娃女夫姬孫女人冒孫女
HVH_107_21_000008_000019	夫族姊娃
HVH_107_21_000008_000020	總麻
HVH_107_21_000008_000021	服無服
HVH_107_21_000008_000022	出嫁麻出嫁無服
HVH_107_21_000008_000023	在室小在空麻
HVH_107_21_000008_000024	為夫之庶母齐衰杖期
HVH_107_21_000008_000025	為夫之生母斬衰三年
HVH_107_21_000008_000026	無
HVH_107_21_000008_000027	在室廉在空
HVH_107_21_000008_000028	出嫁典服嫁周小坊
HVH_107_21_000008_000029	明
HVH_107_21_000008_000030	在室期年
HVH_107_21_000008_000031	出嫁大功
HVH_107_21_000008_000032	出嫁總磨出你無服
HVH_107_21_000008_000033	在家小功在室麻
HVH_107_21_000008_000034	夫堂祖姑夫堂姑夫堂妹夫堂好女夫女
HVH_107_21_000008_000035	無服
HVH_107_21_000008_000036	单妻為夫族之服其夫有同有異相犯者或共夫同論不依服制
HVH_107_21_000008_000037	或依服制不共同論或不依同制亦不共夫同論自照各本律
HVH_107_21_000008_000038	朝註妻為夫之姻妨妹皆小功堂姉妹總麻不分在室出嫁盖降於夫
HVH_107_21_000008_000039	已多不得再降也
HVH_107_21_000008_000040	畅註後服制齐衰杖期内子為嫁出母不言子之要同則無服矣或
HVH_107_21_000008_000041	謂母改嫁被出在夫未娶婦之前則無服若在已娶之後同夫服矣
HVH_107_21_000008_000042	堂好孫女曾孫女皆麻是言在室者末注出嫁無服待補之
HVH_107_21_000008_000043	0
HVH_107_21_000008_000044	4
HVH_107_21_000008_000045	0
HVH_107_21_000009_000001	景纂夫為人後者妻於夫後服属並同此其為本宗降服除舅
HVH_107_21_000009_000002	。
HVH_107_21_000009_000003	有專外餘俱随夫所降之等藏又服制齊衰不核期项下有母
HVH_107_21_000009_000004	為長子眾子一由此類推則比圖子孫不論是否已出服制皆同子孫
HVH_107_21_000009_000005	婦亦然
