HVH_106_000006_000014	未則民丁有送然耗之旱之歲者不無定天下
HVH_106_000006_000015	合口而當時之民未免周弊者陳英宗是也
HVH_106_000006_000016	变教代
HVH_106_000006_000017	丁先皇则朝儀雖正而礼未修学校未設何以為代下之
HVH_106_000006_000018	標李太祖則温文雖有然異端友惑正学未聞無
HVH_106_000006_000019	年人之國都之制陈已请矣然州縣尚缺何以為
HVH_106_000006_000020	化氏成俗之方
HVH_106_000006_000021	.
HVH_106_000007_000001	法度谨
HVH_106_000007_000002	丁先皇则致百官設六軍制雖已请矣然礼政有
HVH_106_000007_000003	修李神宗則修政事定兵農内政雖已詳矣然修
HVH_106_000007_000004	平有未議礼儀律令陈之朝政有定也然尋倫攸
HVH_106_000007_000005	以為立政之方
HVH_106_000007_000006	黎朝
HVH_106_000007_000007	官制
HVH_106_000007_000008	我要之繁总於大部封禅之任责六科雖卢之处官
HVH_106_000007_000009	里越政要装
HVH_106_000007_000010	楚法制卖制
HVH_106_000007_000011	七
HVH_106_000007_000012	大成堂藏机
HVH_106_000007_000013	之董正亦無以过矣所可者六部之官名雖正而部
HVH_106_000007_000014	無版圖兵曹無帳未尽詳畫一之規六科之責任雖
HVH_106_000007_000015	隆而給合不球駿御史不弹劾未尽百司之
HVH_106_000007_000016	兵制
HVH_106_000007_000017	奇兵一兵之有送城央江兵之有司兵制可谓詳矣然奉管
HVH_106_000007_000018	率者尽是膏梁之子弟则送補未必其骨精任統
HVH_106_000007_000019	者平皆厮役之几流則訓齊未心其尽善
HVH_106_000007_000020	边防
HVH_106_000007_000021	1
HVH_106_000008_000001	F
HVH_106_000008_000002	注意过謝謀留心外治寧鎮之有华隘之有城諒山固
HVH_106_000008_000003	南開之高平北之陈備边一事周之慎闻漢
HVH_106_000008_000004	之區畫殆無以過矢第可議者外之謀雖切而之
HVH_106_000008_000005	庆不能無守疆之備雖而朱之措置未尽善
HVH_106_000008_000006	爱称重镇而戍守者未是填虚籍之兵平諒皆土軍
HVH_106_000008_000007	而頻居者未必證康之計
HVH_106_000008_000008	文教
HVH_106_000008_000009	謂处國教莫先於教學則經籍有刊行之命縣有
HVH_106_000008_000010	康代改要卷
HVH_106_000008_000011	边月文教科章
HVH_106_000008_000012	大成堂机
HVH_106_000008_000013	觀
HVH_106_000008_000014	教诲之官其於教学一事之域朴之作成菁義之
HVH_106_000008_000015	教育無以異矣第可護者刊行之命雖而六經臭
HVH_106_000008_000016	未一指歸恐無以立教人之的教習之官雖故然縣
HVH_106_000008_000017	備員不聞講恐無以為教士之視模以是而之克
HVH_106_000008_000018	蓋未備也
HVH_106_000008_000019	科拳
HVH_106_000008_000020	及
HVH_106_000008_000021	三年一地成周取士之身重宋氏甲之送
HVH_106_000008_000022	當不以求才急也然任掌衡之责者或公平量
HVH_106_000009_000001	01
HVH_106_000009_000002	而文衡公還為樹党之私司典送之權者或衡人太拘
HVH_106_000009_000003	而途竞宾典之路
HVH_106_000009_000004	李風
HVH_106_000009_000005	康介者保举使風節之有所劝受贼者貶照使贪之有
HVH_106_000009_000006	懲其激士風可谓至矣竟者淹聞誰其崇
HVH_106_000009_000007	恬退之風巧開節者驟於翠途通以長干求之，
HVH_106_000009_000008	启口
HVH_106_000009_000009	謂口同之大則人丁藏在有司歲課視丁著之
HVH_106_000009_000010	歴代政典生
HVH_106_000009_000011	歲启茶式
HVH_106_000009_000012	九
HVH_106_000009_000013	大成堂裁板
HVH_106_000009_000014	成憲启之法極其詳矣但自以来或迫於狂匪之侵
HVH_106_000009_000015	凌或苦於干之大河以北長江以東戶尽
HVH_106_000009_000016	也而勘驗之無其寔郎務張虛宁心無宇文妄之
HVH_106_000009_000017	奸招集之非其人即慢狭謀且至有王成偏僧二
HVH_106_000009_000018	養民
HVH_106_000009_000019	謂民者國之命脉則該收微收禁其溢司量税戒
HVH_106_000009_000020	其誅成求爱民至矣然田租重取而力之眾未免有
HVH_106_000009_000021	醫瘡刻肉之愁市坊有征而服贾之民未遂夫藏市
HVH_106_000009_000022	1
HVH_106_000010_000001	出途之
HVH_106_000010_000002	民心
HVH_106_000010_000003	仰竟赦之則及賊而還良聞告諭之辞則勤王而
HVH_106_000010_000004	前之人心有如此也然洞残之瘦未而還去相望竟
HVH_106_000010_000005	於屯田之從即焦熬之下户宁無唐之谷竟
HVH_106_000010_000006	恤之條甫下而誅求交逾竞提於额外之加即念
