HVH_107_16_000008_000003	艾好南属算長
HVH_107_16_000008_000004	儿祖父毋父母及妻妾焉夫之祖父母
HVH_107_16_000008_000005	親幽来员备管日
HVH_107_16_000008_000006	觀告乃丝腾#
HVH_107_16_000008_000007	父母者业絞须親告乃坐
HVH_107_16_000008_000008	证必须就告或思
HVH_107_16_000008_000009	以子而祖父最父母以子称之
HVH_107_16_000008_000010	我所拖容吧不告
HVH_107_16_000008_000011	要妾而属夫之祖父父毋者好
HVH_107_16_000008_000012	则不之谓非他人
HVH_107_16_000008_000013	之甚者业数校敬祖文母父母律云
HVH_107_16_000008_000014	所告耳于吉
HVH_107_16_000008_000015	皆新此不言营者勇人本每首從包
HVH_107_16_000008_000016	齐父得實说干谷犯
HVH_107_16_000008_000017	劳即坐献则不分
HVH_107_16_000008_000018	内父父
HVH_107_16_000008_000019	傷者者皆坐也
HVH_107_16_000008_000020	母处商父好逐告子
HVH_107_16_000008_000021	深外子茶之婚安
HVH_107_16_000008_000022	條侧
HVH_107_16_000008_000023	安经之然口音者
HVH_107_16_000008_000024	及双牌人者各
HVH_107_16_000008_000025	一儿毁马祖父母父母及夫之颜父母父
HVH_107_16_000008_000026	勿則被者矫
HVH_107_16_000008_000027	可知买同告
HVH_107_16_000008_000028	告息詞者奏請
HVH_107_16_000008_000029	日告道
HVH_107_16_000008_000030	鲜社祖父好干
HVH_107_16_000008_000031	定奪冉犯者難有息詞不與准理若祖父母父
HVH_107_16_000008_000032	大偏面俊据无多散
HVH_107_16_000008_000033	源增委有爱情
HVH_107_16_000008_000034	毋聽信後妻愛子蠱惑謀襲官職争奪
HVH_107_16_000008_000035	皇越律创卷
HVH_107_16_000008_000036	湘
HVH_107_16_000008_000037	七
HVH_107_16_000008_000038	驾父母父
HVH_107_16_000008_000039	比调许告息以全
HVH_107_16_000008_000040	其悬典理以申其
HVH_107_16_000008_000041	財産等项控告打罵者問明白不
HVH_107_16_000008_000042	狂属操技罪
HVH_107_16_000008_000043	王重必詳之也
HVH_107_16_000008_000044	所犯次数亦奥辨理
HVH_107_16_000009_000001	妻妾夫期親尊長
HVH_107_16_000009_000002	几妻麦夫之期親以下思麻以上
HVH_107_16_000009_000003	外
HVH_107_16_000009_000004	長共夫罪同妾罵夫者杖入十妾
HVH_107_16_000009_000005	妻者罪亦如之若罵妻之父毋者杖六
HVH_107_16_000009_000006	十业须親告乃坐
HVH_107_16_000009_000007	律無麦夫之條者
HVH_107_16_000009_000008	以门敢体之義恕
HVH_107_16_000009_000009	之也若犯提不
HVH_107_16_000009_000010	愿答罪可也
HVH_107_16_000009_000011	人從夫夫之尊長即其尊長
HVH_107_16_000009_000012	世妻妾罵夫之期親以麻以上
HVH_107_16_000009_000013	姜焉夫及正妻者並杖凡十若罵妻
HVH_107_16_000009_000014	文父者
HVH_107_16_000009_000015	放大
HVH_107_16_000009_000016	皇越律例拳大拳
HVH_107_16_000009_000017	入
HVH_107_16_000009_000018	关期观尊
HVH_107_16_000010_000001	要赐故夫父册
HVH_107_16_000010_000002	九妻妾夫区政家
HVH_107_16_000010_000003	未绝
HVH_107_16_000010_000004	其義
HVH_107_16_000010_000005	罵故夫之祖艾
HVH_107_16_000010_000006	父母者共罵舅站罪同
HVH_107_16_000010_000007	按妻若夫在
HVH_107_16_000010_000008	被出典
HVH_107_16_000010_000009	艳及姑婚俱收嫁者不用无律久于
HVH_107_16_000010_000010	之嫦守志在室面已改株之者
HVH_107_16_000010_000011	轉賣人
HVH_107_16_000010_000012	身双
HVH_107_16_000010_000013	神驾楷家具者仍
HVH_107_16_000010_000014	依写家员本律諭
HVH_107_16_000010_000015	妻妾因夫而则已不能守志
HVH_107_16_000010_000016	故勇書案長者
HVH_107_16_000010_000017	皇越律例一套
HVH_107_16_000010_000018	即以几人也
HVH_107_16_000010_000019	九
HVH_107_16_000010_000020	1
HVH_107_16_000010_000021	老男企
HVH_107_16_000011_000001	訴訟
HVH_107_16_000011_000002	越訴
HVH_107_16_000011_000003	辑詞下官
HVH_107_16_000011_000004	之也词必自下
HVH_107_16_000011_000005	軍民詞訟皆须自下而上陳告若越本
HVH_107_16_000011_000006	官軍民之也下官
HVH_107_16_000011_000007	未受词烏如其
HVH_107_16_000011_000008	断枉而机赴上
HVH_107_16_000011_000009	司新部乱本管之
HVH_107_16_000011_000010	预体馆同不受理或受理
HVH_107_16_000011_000011	面枉者方赴上司陈告
HVH_107_16_000011_000012	若迎車
HVH_107_16_000011_000013	它换上司之梦越
HVH_107_16_000011_000014	分安即非管律
HVH_107_16_000011_000015	駕及擊登聞鼓申訴而不實者杖一百
HVH_107_16_000011_000016	黄津心此之所
HVH_107_16_000011_000017	以有罪也
HVH_107_16_000011_000018	實之
HVH_107_16_000011_000019	重論得寶
HVH_107_16_000011_000020	军统于营街民统于州乃其本管
HVH_107_16_000011_000021	官司也几军民一應詞訟皆须先由
HVH_107_16_000011_000022	体管馆同自下陈告或不受理或有
HVH_107_16_000011_000023	新然後赴上司陈告若本管
HVH_107_16_000011_000024	官司趣赴上同养者告五
HVH_107_16_000011_000025	皇越律创
HVH_107_16_000011_000026	二卷六用
HVH_107_16_000011_000027	迎候于车舅出入之及登開蒙
HVH_107_16_000011_000028	十
HVH_107_16_000011_000029	器两
HVH_107_16_000011_000030	申养面事情不實者极一百所不
HVH_107_16_000011_000031	得實者免其赦一百之罪再查衡
HVH_107_16_000011_000032	像改而訴事不實者上書詳不及
HVH_107_16_000011_000033	請宪抑期脱已罪又詳言事者
