HVH_107_18_000004_000025	其因强姦執持金刃觉墨截傷本及
HVH_107_18_000004_000026	拒捕致傷旁人已成者提斬盈候未
HVH_107_18_000005_000001	成者凝绞监候
HVH_107_18_000005_000002	一凡阙姦圖姦未成者經本婦告知親族
HVH_107_18_000005_000003	鄉保即時禀明該地方官如果有
HVH_107_18_000005_000004	接即酌其情罪之重輕分别抑號杖
HVH_107_18_000005_000005	報明上司存案如本家已經投明保
HVH_107_18_000005_000006	該御保不即禀官及票官不即審理致
HVH_107_18_000005_000007	本婦懷念自盡者将御保照甲長不行
HVH_107_18_000005_000008	轉報竊益例杖八十地方官照例議處
HVH_107_18_000005_000009	一凡强姦殺死婦女仍按例问斬决外
HVH_107_18_000005_000010	其有先经和姦後因别故拒绝致将被
HVH_107_18_000005_000011	姦之人殺死者俱仍照謀故殿本律
HVH_107_18_000005_000012	皇越律例卷十八
HVH_107_18_000005_000013	四
HVH_107_18_000005_000014	犯女
HVH_107_18_000005_000015	定擬
HVH_107_18_000006_000001	縱春妻妾
HVH_107_18_000006_000002	凡容妻妾舆人通姦本夫夫婦各
HVH_107_18_000006_000003	杖九十抑勒妻妾及乞養女與人通
HVH_107_18_000006_000004	者本大義父谷杖一百姦夫杖八十婦
HVH_107_18_000006_000005	女不坐鱼離異婦宗若縱容邦勒親
HVH_107_18_000006_000006	女及子孫之婦妾典人通姦者罪亦如
HVH_107_18_000006_000007	之若用财買休實休和同娶人妻
HVH_107_18_000006_000008	者本夫本及買休人各杖一百婦人
HVH_107_18_000006_000009	異宗財入官若買休人奥婦人
HVH_107_18_000006_000010	計過勒本夫休葉其夫别無賣休之
HVH_107_18_000006_000011	者不坐買休人及本婦各杖六十徒
HVH_107_18_000006_000012	皇题律倒
HVH_107_18_000006_000013	卷早八月章
HVH_107_18_000006_000014	五
HVH_107_18_000006_000015	親春要麦花
HVH_107_18_000006_000016	一年蜡人罪收赎給付本夫從其嫁
HVH_107_18_000006_000017	賣麦减一等合人各减犯人
HVH_107_18_000006_000018	過费
HVH_107_18_000006_000019	体及
HVH_107_18_000006_000020	罪一等
HVH_107_18_000006_000021	其因不陈告面嫁赏與
HVH_107_18_000006_000022	夫者本夫杖一百轰夫
HVH_107_18_000006_000023	核备
HVH_107_18_000006_000024	不坐童離異师宗童字承提容抑
HVH_107_18_000006_000025	取俱不可令合也。若容勒
HVH_107_18_000007_000001	如之樱之父母男姑奥轰夫女
HVH_107_18_000007_000002	各杖九十抑勤之父外男姑
HVH_107_18_000007_000003	百豪夫教满女不坐不言離吴
HVH_107_18_000007_000004	者概客抑勒罪在男姑本夫之
HVH_107_18_000007_000005	義未施嫁顾留俱聽從本夫其
HVH_107_18_000007_000006	嫁之親女無可之處自父好。
HVH_107_18_000007_000007	若圖謀人妻而用财買其休本夫
HVH_107_18_000007_000008	爱财情顾休员休人和同本快本
HVH_107_18_000007_000009	费休木带及已请夫婦義绝拔当
HVH_107_18_000007_000010	宗彼此俱罪财體例應入官若
HVH_107_18_000007_000011	費不追财減一等妻分
HVH_107_18_000007_000012	妻然婦人之義從一而終不得因買
HVH_107_18_000007_000013	休而和同而及用計题動其体
HVH_107_18_000007_000014	和娶者本夫與妾及買休人各
HVH_107_18_000007_000015	九十用通者要换休人
HVH_107_18_000007_000016	放一百其應雕果歸宗财入官興
HVH_107_18_000007_000017	皇越律侧
HVH_107_18_000007_000018	卷十八州律
HVH_107_18_000007_000019	六
HVH_107_18_000007_000020	散容麦犯效
HVH_107_18_000007_000021	促嫁员俱奥麦同為媒说合人各
HVH_107_18_000007_000022	减犯人罪一等各字歌和娶超勤两
HVH_107_18_000007_000023	顶
