HVH_107_15_000004_000019	荐聽人两目全不能视打折人两
HVH_107_15_000004_000020	被全不能奉動或折一手又一
HVH_107_15_000004_000021	或赔人一月又折人一肢是人
HVH_107_15_000004_000022	二事几背威反调前面
HVH_107_15_000004_000023	目消追折
HVH_107_15_000004_000024	肢今又折其一
HVH_107_15_000005_000001	人陰陽知古宫刑制南以主不
HVH_107_15_000005_000002	殿難止一肤一事其人已成篤疾矣
HVH_107_15_000005_000003	若割断人舌合人全不能言及
HVH_107_15_000005_000004	鄂用下0
HVH_107_15_000005_000005	麒生情者鱼杖一百流三干里仍将
HVH_107_15_000005_000006	不鲁下手或下手整则城一等
HVH_107_15_000005_000007	敬九十徒二二年餘做0初本
HVH_107_15_000005_000008	手而理者械二等若往疾者
HVH_107_15_000005_000009	罪雄藏等仍财産一半所仍
HVH_107_15_000005_000010	本娃他殿人死及毁兄韩殿
HVH_107_15_000005_000011	伯叔者舞发下手理宜者不减盖
HVH_107_15_000005_000012	人至死即應抵命面兄韩怕叔皆期
HVH_107_15_000005_000013	親尊長倫理所關
HVH_107_15_000005_000014	有本律不在此限也
HVH_107_15_000005_000015	呈越律例卷五律四
HVH_107_15_000005_000016	阳原
HVH_107_15_000005_000017	條例
HVH_107_15_000005_000018	一歐傷姦盗罪人至篤疾者照例分别定
HVH_107_15_000005_000019	擬毋席断付财産
HVH_107_15_000006_000001	保限期
HVH_107_15_000006_000002	至死當官立限以保之保人之傷
HVH_107_15_000006_000003	保養也罪也保辜謂傷人未
HVH_107_15_000006_000004	正所以保
HVH_107_15_000006_000005	已之罪也
HVH_107_15_000006_000006	保之人佛
HVH_107_15_000006_000007	平後郎感官勤验
HVH_107_15_000006_000008	凡保辜者
HVH_107_15_000006_000009	先验傷之重整或手是或
HVH_107_15_000006_000010	内傷已本從官司文
HVH_107_15_000006_000011	关今法限外
HVH_107_15_000006_000012	犯人
HVH_107_15_000006_000013	保
HVH_107_15_000006_000014	傷死
HVH_107_15_000006_000015	明自别目位故死
HVH_107_15_000006_000016	以郸論火如惊
HVH_107_15_000006_000017	流等中请
HVH_107_15_000006_000018	万然数建不起印
HVH_107_15_000006_000019	国卷有州他
HVH_107_15_000006_000020	之肺也杖罪可
HVH_107_15_000006_000021	者各從木伤云是
HVH_107_15_000006_000022	日位故死干平之
HVH_107_15_000006_000023	官司验男未
HVH_107_15_000006_000024	0其在辜限外及在辜限内
HVH_107_15_000006_000025	之傷已平後官司文案明白
HVH_107_15_000006_000026	他故死者
HVH_107_15_000006_000027	人因风致死之類
HVH_107_15_000006_000028	謂打人頭修不因頭套得风
HVH_107_15_000006_000029	别眉他面者是為他故
HVH_107_15_000006_000030	之人别因
HVH_107_15_000006_000031	被
HVH_107_15_000006_000032	原
HVH_107_15_000006_000033	故而死者若死于
HVH_107_15_000006_000034	若折傷以上辜
HVH_107_15_000006_000035	次之线不
HVH_107_15_000006_000036	下手理直减
HVH_107_15_000006_000037	此所謂犯罪得累减也
HVH_107_15_000006_000038	皇越律创
HVH_107_15_000006_000039	卷主
HVH_107_15_000006_000040	刑律開政上
HVH_107_15_000006_000041	五
HVH_107_15_000006_000042	保幕照期
HVH_107_15_000006_000043	而成錢篤疾及辜限满日不平復
HVH_107_15_000006_000044	死
HVH_107_15_000006_000045	而
HVH_107_15_000006_000046	三
HVH_107_15_000006_000047	者各依律全科
HVH_107_15_000006_000048	之罪死亦同傷論
HVH_107_15_000006_000049	全科所傷残笃
HVH_107_15_000006_000050	。
HVH_107_15_000006_000051	手是及以他物殴傷人者
HVH_107_15_000006_000052	整
HVH_107_15_000006_000053	十日以及汤火傷人者限三十
HVH_107_15_000006_000054	日折跌肢體及破骨墮胎者無論
HVH_107_15_000006_000055	足他物者限五十日
HVH_107_15_000006_000056	2
HVH_107_15_000006_000057	无人傷重或可将治平復或都目
HVH_107_15_000006_000058	司驗明受傷之處或手是物金
HVH_107_15_000006_000059	一
HVH_107_15_000006_000060	湯火潮明白将被傷時刻明立
HVH_107_15_000006_000061	文案勒保辜责令下手犯人延
HVH_107_15_000006_000062	調治候限滞之日定罪發落故日保
HVH_107_15_000006_000063	享謂其承認歐人之傷情願保甘
HVH_107_15_000006_000064	服傷人之罪咱候科断也辜都後
HVH_107_15_000006_000065	開二十日三十日五十日之限加
HVH_107_15_000006_000066	限内将治不座不同手是他物金
HVH_107_15_000007_000001	汤火所傷皆须因原之傷而致死
HVH_107_15_000007_000002	者以数人输惟遏失教人
HVH_107_15_000007_000003	不准保事其在辜限之外及在
HVH_107_15_000007_000004	限之内被殿原傷各已醫治平復
HVH_107_15_000007_000005	官同勘明白其人别因他故而死
HVH_107_15_000007_000006	致死者谐爲他故但各本最何傷
HVH_107_15_000007_000007	按律科断不照闘投同若折傷
HVH_107_15_000007_000008	以上在限内醫治平後者各照本
HVH_107_15_000007_000009	本杖百今限内腎治平復则止
HVH_107_15_000007_000010	全終身無用有治之功難
HVH_107_15_000007_000011	不平後而死者註有面死字又云
HVH_107_15_000007_000012	皇越律例
HVH_107_15_000007_000013	保華限期
HVH_107_15_000007_000014	雖死亦同傷論则死亦不論
HVH_107_15_000007_000015	後涤倒又有报处上之法
HVH_107_15_000007_000016	條例
HVH_107_15_000007_000017	一九京城內外及各鎮州縣遇有殿傷
HVH_107_15_000007_000018	重不能動覆之人或具控到官或經拿
