HVH_107_13_000004_000006	加一等如将引盗财十两则應答四
HVH_107_13_000004_000007	十按数通加罪止放一百他人亦减
HVH_107_13_000004_000008	几人盗本罪一等知四十雨
HVH_107_13_000004_000009	一百一等杖九十若保為從
HVH_107_13_000004_000010	域一等杖入十做批免刺以盗
HVH_107_13_000004_000011	由平纲将引而所得乃将引人之财
HVH_107_13_000004_000012	将典几人不同也若彻姻有
HVH_107_13_000004_000013	傷親者或尊長或自便
HVH_107_13_000004_000014	伤尊最早切本律罪人同盗者
HVH_107_13_000004_000015	不知傷之情亦益論不得
HVH_107_13_000004_000016	财者流但得财皆其恶也若
HVH_107_13_000004_000017	他人後傷人者自窃查臨時投傷
HVH_107_13_000004_000018	律输渐早切不知情即同自已教
HVH_107_13_000004_000019	傷亦依教傷專長早期本律典料
HVH_107_13_000004_000020	用财加等体罪相较從其重者之
HVH_107_13_000004_000021	皇越律倒
HVH_107_13_000004_000022	2e
HVH_107_13_000004_000023	卷十三刑年败下
HVH_107_13_000004_000024	三
HVH_107_13_000004_000025	原招查
HVH_107_13_000004_000026	在親属有尊最早切之在他人则
HVH_107_13_000004_000027	既謂之人上旧有傷者此有字
HVH_107_13_000004_000028	兼尊长早胡在内下日若他人教儒
HVH_107_13_000004_000029	人者此人字即将引者之尊長早
HVH_107_13_000004_000030	也此既本言早切行益面云依数傷
HVH_107_13_000004_000031	尊長早靖本律者以上时所设
HVH_107_13_000004_000032	辉雇江人协家長及旗批之人潍
HVH_107_13_000004_000033	無其财之義然既已同居耶丰泛然
HVH_107_13_000004_000034	物及奴中自相盗者俱得或几人
HVH_107_13_000004_000035	盗罪一等爲仪又残一等重免刻字
HVH_107_13_000004_000036	其不言奴雇將引人及他人同益
HVH_107_13_000004_000037	之排者以雌你同居面非早切
HVH_107_13_000004_000038	文此早切乃應有尉物之人故日
HVH_107_13_000004_000039	签祀家用日被用耀安同之
HVH_107_13_000004_000040	敬有犯者奴雇自依本律我等
HVH_107_13_000004_000041	宇他人仍侯几人道猴科之不得照
HVH_107_13_000004_000042	早切将引之律所請
HVH_107_13_000004_000043	首從本罪备别者也
HVH_107_13_000004_000044	同室不共
HVH_107_13_000004_000045	即以各居
HVH_107_13_000005_000001	例
HVH_107_13_000005_000002	一同居卑幼将引他人强劫已家财物依
HVH_107_13_000005_000003	各居親屬行強盗卑勿犯尊長以凡人
HVH_107_13_000005_000004	論斬奏請
HVH_107_13_000005_000005	定奪
HVH_107_13_000005_000006	凡奴偷盗家長财物者照盗律計
HVH_107_13_000005_000007	赋治罪若起意勾引外人同盗家長财
HVH_107_13_000005_000008	物者将起意之奴計加盗
HVH_107_13_000005_000009	等治罪至一百二十两以上者仍照律
HVH_107_13_000005_000010	擬较监候被勾引之外人仍照竊盗律
HVH_107_13_000005_000011	分别定雇工人盗家長财物亦照
HVH_107_13_000005_000012	皇越律例
HVH_107_13_000005_000013	卷十三
HVH_107_13_000005_000014	视食相益
HVH_107_13_000005_000015	盗計赋治罪
HVH_107_13_000005_000016	一凡奴僕雇工人强劫家長财物及勾引
HVH_107_13_000005_000017	外人同劫家長财物者悉照凡人强盗
HVH_107_13_000005_000018	律定擬其有傷家長者仍依律從重
HVH_107_13_000005_000019	論
HVH_107_13_000005_000020	一凡各居無服親屬除平日膜視並無
HVH_107_13_000005_000021	恤致相盗财物者照律减等辨理外若
HVH_107_13_000005_000022	素有周恤或托管田產經理财物不安
HVH_107_13_000005_000023	本分肆竊肥已胎累受害者即以几人
HVH_107_13_000005_000024	痛益計賦科断仍照律免刺至消者
HVH_107_13_000005_000025	長照律杖一百流三千里卑幼擬
HVH_107_13_000006_000001	監候發央一次後照例减發
HVH_107_13_000006_000002	皇越律
HVH_107_13_000006_000003	巷十三消律賊下
HVH_107_13_000006_000004	属相盗
HVH_107_13_000007_000001	恐嚇取财
HVH_107_13_000007_000002	凡恐嚇取人财者計准竊盗論加一等
HVH_107_13_000007_000003	以一主為重伤赋分首從其未得
HVH_107_13_000007_000004	若期親以下自相悉者早犯尊長
HVH_107_13_000007_000005	以凡人論
HVH_107_13_000007_000006	盗加一等尊长犯早初亦依
HVH_107_13_000007_000007	計贼准
HVH_107_13_000007_000008	親相益律减科罪
HVH_107_13_000007_000009	悉五等须
HVH_107_13_000007_000010	期親齐城凡人
HVH_107_13_000007_000011	窃益加一
HVH_107_13_000007_000012	等上戒之
HVH_107_13_000007_000013	恐察謂做借事張大聲務以
HVH_107_13_000007_000014	平人使之畏惧而取其财也内
HVH_107_13_000007_000015	之心外托公强之势恶其情逾
HVH_107_13_000007_000016	戴故准益論面加一等源供非慎
HVH_107_13_000007_000017	盗故免刺宇而罪不至死也计胜各
HVH_107_13_000007_000018	标证告
HVH_107_13_000007_000019	往者协以一主為重二人以上亦
HVH_107_13_000007_000020	月科仍分首從若期以下至
HVH_107_13_000007_000021	皇越律例卷十律践益下
HVH_107_13_000007_000022	通知律不在相
HVH_107_13_000007_000023	無服之親自相悉以取财者如早
HVH_107_13_000007_000024	恋莓取财
HVH_107_13_000007_000025	杏言免料城等及干
HVH_107_13_000007_000026	切犯尊長以儿人論齐准穿益加一
HVH_107_13_000007_000027	名犯之限
HVH_107_13_000007_000028	等免刺其尊長犯幼齐依親离相
HVH_107_13_000007_000029	盗期親成五等大功戎四等小功戒
HVH_107_13_000007_000030	三等網麻成二等無服之親城一等
