HVH_095_000006_000002	建造修補諸公座公所探採諸廣
HVH_095_000006_000003	其東洋各處工政正督不惟掌理東洋全境之公益事需及
HVH_095_000006_000004	東洋支消簿而已又須管理轄內之公益事所需及各處之消者
HVH_095_000006_000005	商政座
HVH_095_000006_000006	有東洋商政總理大臣管領此所掌收出港入港之税與經
HVH_095_000006_000007	遇北圻載出清國之貨物諸税及酒監鵜片税均納東洋
HVH_095_000006_000008	支消公簿又見察境内諸産物不許外國輸入此煩以與本
HVH_095_000006_000009	處争賣凢此皆係重事而需人亦多
HVH_095_000006_000010	耕農所
HVH_095_000006_000011	凡擴張耕農商賣諸事務國家有設一所以主之名耕農
HVH_095_000006_000012	所此所之設自一千八百九十八年三月初五日議定掌理開擴
HVH_095_000006_000013	境內各處耕農商賣事務又有各轄耕農座以勸勵農
HVH_095_000006_000014	桑及耕田種樹抆藝之法標表其利害各事於處內𮞏年
HVH_095_000006_000015	每處有闢巧場以勸獎其民其属於耕農商賣所之各
HVH_095_000006_000016	列
HVH_095_000006_000017	新
HVH_095_000006_000018	地理座
HVH_095_000006_000019	察地利及種樹木耕座
HVH_095_000006_000020	天文座
HVH_095_000006_000021	檢林座
HVH_095_000007_000001	開墾公土為屯田座及度田座
HVH_095_000007_000002	電報所
HVH_095_000007_000003	電報所有東洋電報總理大臣管領國家所設此座以為
HVH_095_000007_000004	最便利於民及防備商賣諸事益國我人不能私寄書
HVH_095_000007_000005	信雖有驛夫止奔報公事而已今則可以書信名帖及貨
HVH_095_000007_000006	物重至十西斤者又有電報最灵捷凢傳音信寄銀钱者
HVH_095_000007_000007	瞬息之間可達千里
HVH_095_000007_000008	東洋電線諸路自國家該治皆以次起造凢何处已平定
HVH_095_000007_000009	則電報路皆次第成功今則境內諸城諸省遍他有電
HVH_095_000007_000010	線諸處有皆電報寄書若何人未有主領之人則由南官
HVH_095_000007_000011	所募站夫奔收書信其統管之權則由公使官及各轄之
HVH_095_000007_000012	電報自一千九一百二年正月初一日議定東洋電報諸所統
HVH_095_000007_000013	合為一其主權歸總理大臣管領
HVH_095_000007_000014	學政所
HVH_095_000007_000015	有東洋學政總督大臣管理東洋轄內諸學務國家之
HVH_095_000007_000016	設此所󰇼取諸新斈如博物貨學及泰西文明諸國
HVH_095_000008_000001	之學術以教我人自全權逋大臣最敦篤學務始設東
HVH_095_000008_000002	洋學政縂督以掌理東洋全轄學務又設學務㑹同座以
HVH_095_000008_000003	議新斈及誠法諸事立大學場在河內國家有立医孝
HVH_095_000008_000004	塲以教南人學泰西医法有博古塲法國諸博斈人所
HVH_095_000008_000005	學及採撰東洋境內諸古跡事天文所設在璉扶
HVH_095_000008_000006	省
HVH_095_000008_000007	八建安
HVH_095_000008_000008	送院所
HVH_095_000008_000009	遥院所有東洋送院掌統六圈官為首以勘察防備傳
HVH_095_000008_000010	染病証莧理衛生事及諸養病人慯塲
HVH_095_000008_000011	以上東洋諸公所有統理為主然亦皆依従全權大
HVH_095_000008_000012	臣之法令至若各處該治之權則各有統使欽使或統腎云
HVH_095_000008_000013	統使府
HVH_095_000008_000014	北圻為保護處有統使管領全圻主權得與保護處國正
HVH_095_000008_000015	父接掌理轄内支消公薄該治諸省城支消所需如陸
HVH_095_000008_000016	路學務銀庫巡防傷塲獄室諸事與南國該治之事
HVH_095_000008_000017	除入東洋支消公簿若千樣額餘皆入此簿
HVH_095_000008_000018	各處會同保護
HVH_095_000009_000001	自一千八百九十三年成年春九月二十一日議定北中圻高蠻各
HVH_095_000009_000002	處皆置會同保護以商論轄內公益事務如收補税課諸
HVH_095_000009_000003	事及觀民夫開墾公土屯田於轄內諸處
HVH_095_000009_000004	北圻會同保護則統使為主其次如
HVH_095_000009_000005	轄內諸兵官
HVH_095_000009_000006	水師都統
HVH_095_000009_000007	掌糧六圈官
HVH_095_000009_000008	代東洋案座掌理火臣官
HVH_095_000009_000009	代財政清查大臣官
HVH_095_000009_000010	科農劍枚員
HVH_095_000009_000011	本國大臣枚員
HVH_095_000009_000012	統使府管理官
HVH_095_000009_000013	在南圻則有㑹同管轄統督為主其所司之事務及與
HVH_095_000009_000014	會同之會員亦如會同云保護云
HVH_095_000009_000015	各處之公所
HVH_095_000009_000016	東洋各處皆有該治一員在南圻曰統督圻北曰統使
HVH_095_000009_000017	其次又有各公座列于左
HVH_095_000009_000018	掌收各税座
HVH_095_000009_000019	則分爲三項
HVH_095_000009_000020	公使座
HVH_095_000009_000021	省有公使大臣管轄全省該治事務掌察南人之刑案
HVH_095_000010_000001	獄訟與堂官會同議立每年税簿收補授祝及察見防
HVH_095_000010_000002	鸭刄
HVH_095_000010_000003	地方
HVH_095_000010_000004	公使座其次公使之權則有副公使一員以助理政事又有西
HVH_095_000010_000005	參員以承行公事通言記錄十餘人以附従幹辨諸事務
HVH_095_000010_000006	巡防事則公使用青洿習兵各有西官該管在省有監其
HVH_095_000010_000007	流領若衝要諸處亦皆青習兵屯札則有西隊一員
HVH_095_000010_000008	掌管然其主亦由公使擬定
HVH_095_000010_000009	轄內諸堤分道路橋樑之事亦由公使管理故每省有
HVH_095_000010_000010	陸路官一員與公使附從以辨理其事
HVH_095_000010_000011	有銀庫官一員以收税糧及文國家公需諸事務又有
HVH_095_000010_000012	商政所電報所皆屬公使該治
HVH_095_000010_000013	公需簿
HVH_095_000010_000014	省內支費諸事築路點燈設庸靣巡防兵給正職官附
HVH_095_000010_000015	給糧修築轄內諸道路修補省府縣公堂及公使座所
HVH_095_000010_000016	支費諸事則公使有省内支消簿
HVH_095_000010_000017	公需簿所收入之税如丁税田税市渡祝無城庯門牌説城
HVH_095_000010_000018	庯公税授車税牢特塘税及增附轄內田税
HVH_095_000011_000001	國家該治南圻法
HVH_095_000011_000002	自一千八百六十三年六月初五日大法皇帝納逋黎第三嗣
HVH_095_000011_000003	德皇帝交訂和約後國家始該治南圻各省然至一千八百
HVH_095_000011_000004	六十三年有水師元帥通阿大臣者掌該治南圻之權始
HVH_095_000011_000005	設定官吏所刑案所户務所兵務所諸公所又令水步兵
HVH_095_000011_000006	官各領參辨之職以掌理收税及迦防警察本處内外
HVH_095_000011_000007	地方之事其諸兵官皆勤敏出色底人當兵火残破之餘
HVH_095_000011_000008	而能處置適當且承元帥大臣之法令而平定境内設定南
HVH_095_000011_000009	國官吏事收補授税經营修築境内諸道路開鑿满渠
HVH_095_000011_000010	諸事至一千八百六十五年又五副元帥以附屬行事擇本處
HVH_095_000011_000011	豪强才智者以次補為腎撫知府知縣令諸參辨附办
HVH_095_000011_000012	公事又䢖造無放美麗宮臺如全權座案督理座電報座
HVH_095_000011_000013	極其精巧冠於南圻此皆當辰所腎造也
HVH_095_000011_000014	自一千八百七十九年五月十五日百諭以文官代諸兵官領該
HVH_095_000011_000015	治之權其本處事務及案詞諸事皆従更遇又以諸大臣與
HVH_095_000011_000016	南官效員為會同管轄以㑹商轄內公益事又立無奴學
HVH_095_000012_000001	堂以本處及外國人他如修補堤道修輪船港築火車路電車
HVH_095_000012_000002	路諸公益事務皆當辰所經营造作於二十年之間南圻六成亞東之
HVH_095_000012_000003	省府縣總社
HVH_095_000012_000004	我南三圻各設省省分為府爲縣府縣又分為總總分為社社
HVH_095_000012_000005	者数户之人群聚而成設鄉役以掌鄉事官事又隨其地分之
HVH_095_000012_000006	皆有别號㦯隨其方向加村束村西
HVH_095_000012_000007	大小分爲村爲甲
HVH_095_000012_000008	或取其敬目如甲壹甲二之須
HVH_095_000012_000009	社有財產可以
HVH_095_000012_000010	公同賣買支消又有公產如公田公土不得換賣惟當公需
HVH_095_000012_000011	公消之費則有典催三年之法亦須呈官知炤公田則均
HVH_095_000012_000012	給於民摘取一分為神祠佛寺祭禮之需一分巽田每人在
HVH_095_000012_000013	兵者給田三敬及學田以養鄉師筆紙田以資里長亦有田
HVH_095_000012_000014	或人所供之后田或仝社公買私田以為社内私産民分為二項有
HVH_095_000012_000015	内籍外籍者物力之人外籍則貧弱者社内有丁簿田簿田
HVH_095_000012_000016	簿則未有限界及處所名雖保護國家已經繒圖亦止
HVH_095_000012_000017	十餘省而已然各社皆有𫇰簿自嘉隆明命年間已為細
HVH_095_000012_000018	備故間有争訟官亦易於察問𢼂社合為總以縂內大社
HVH_095_000012_000019	之名名之縂無私産如社惟相統屬耳
HVH_095_000013_000001	南國該治法
HVH_095_000013_000002	我南為君主國其官制之重大者如輔政府機密院及六部是也
HVH_095_000013_000003	輔政府
HVH_095_000013_000004	方天子年幼之辰則有輔政大臣以宗室及老成大臣效員以輔政事
HVH_095_000013_000005	机密院
HVH_095_000013_000006	遇大臣八員以會商軍國重事然後覆奏
HVH_095_000013_000007	內閣
HVH_095_000013_000008	擇各院大臣四員充之上有敕旨則抄錄頒出而番其殊扯原本
HVH_095_000013_000009	六部
HVH_095_000013_000010	六部各尚書一員及侍數員以統領全國事務
HVH_095_000013_000011	吏部主官吏事錄諸憑敕及分補弁降官吏之權
HVH_095_000013_000012	户部掌丁田糧税諸事
HVH_095_000013_000013	禮部主祀祭事封諸神敕奐國祭試法諸事
HVH_095_000013_000014	兵部主武事掌舉置兵官練習兵軍之事
HVH_095_000013_000015	刑部守國家律例以察刑案
HVH_095_000013_000016	工部掌修築堤道营造宮殿城郭营寨諸事
HVH_095_000014_000001	都察院
HVH_095_000014_000002	有左都御史管理及諸御史掌察各院各部在京在外
HVH_095_000014_000003	諸臣何係有法事得以彈奏
HVH_095_000014_000004	欽天監
HVH_095_000014_000005	有監正為主觀察天文以造曆
