HVH_107_04_000005_000015	官员廉
HVH_107_04_000005_000016	各處土官替其通事及請几色目人
HVH_107_04_000005_000017	等有置土官親族不該承之人争
HVH_107_04_000005_000018	协李投者俱照例地面克
HVH_107_04_000005_000019	軍
HVH_107_04_000005_000020	几土官曼職由司府州都具印甘各结
HVH_107_04_000005_000021	土司親供宗圖及原領號纸詳送
HVH_107_04_000005_000022	营其题替若應之人未十五歲
HVH_107_04_000005_000023	者令本族土舍即親属曾请本土公
HVH_107_04_000005_000024	務者護理印務歲痛日具题承
HVH_107_04_000005_000025	有事故运誤年人方告襲者宗圖號纸
HVH_107_04_000005_000026	有损亦准替
HVH_107_04_000006_000001	一儿土官故絶無子許第承如無子第
HVH_107_04_000006_000002	即族属内素爲其下信服者許令一
HVH_107_04_000006_000003	人楚
HVH_107_04_000006_000004	一土官病故該镇营於题報之時即查
HVH_107_04_000006_000005	明應之人取具宗圖册結都封甘結
HVH_107_04_000006_000006	并原领號低限六個月内具题承其
HVH_107_04_000006_000007	未經具题之先亦即令應之人照署
HVH_107_04_000006_000008	事官倒用印管事地方官如有勒精沉
HVH_107_04_000006_000009	難者將管上司均交部議處其
HVH_107_04_000006_000010	支了第中有謹能辨事者俱許本
HVH_107_04_000006_000011	土官详報镇营具题請
HVH_107_04_000006_000012	皇越律倒卷四
HVH_107_04_000006_000013	史中
HVH_107_04_000006_000014	五
HVH_107_04_000006_000015	官员廉
HVH_107_04_000006_000016	首酌量给典藏街令其分管地方事務其所授
HVH_107_04_000006_000017	職街顾本土宫降二等如本土官保宣
HVH_107_04_000006_000018	慰大使則所分者給奥宣慰同即街照
HVH_107_04_000006_000019	土官承之例一體颁給
HVH_107_04_000006_000020	號低其所管地方本土官多不通三分
HVH_107_04_000006_000021	之一少則五分之一此後再有子孫可
HVH_107_04_000006_000022	分者亦再許其詳報鎮营具遇請
HVH_107_04_000006_000023	肯照倒分管地方再降一等給共職街印信
HVH_107_04_000006_000024	紙
HVH_107_04_000007_000001	大臣専擅選官
HVH_107_04_000007_000002	隶文武
HVH_107_04_000007_000003	须從朝廷選用若大
HVH_107_04_000007_000004	臣選用者
HVH_107_04_000007_000005	监
HVH_107_04_000007_000006	侯
HVH_107_04_000007_000007	等頂
HVH_107_04_000007_000008	者罪亦如之
HVH_107_04_000007_000009	俱
HVH_107_04_000007_000010	文
HVH_107_04_000007_000011	其见任在朝官
HVH_107_04_000007_000012	免坐
HVH_107_04_000007_000013	員酉諭遣及改除不問遠远乱故
HVH_107_04_000007_000014	不行者並杖百罷職不叙
HVH_107_04_000007_000015	用人之操於君上授内外大
HVH_107_04_000007_000016	小交武官員者從朝廷进用大臣
HVH_107_04_000007_000017	送官已使君之惟御有無
HVH_107_04_000007_000018	書請肯奉行不得事提也若不請
HVH_107_04_000007_000019	君之心故坐新不前有無所私也
HVH_107_04_000007_000020	若提大概威倒當官者
HVH_107_04_000007_000021	奉朝廷特除恩章方技建创
HVH_107_04_000007_000022	面者必有御私之心恐致植
HVH_107_04_000007_000023	星越律创
HVH_107_04_000007_000024	卷四
HVH_107_04_000007_000025	乡
HVH_107_04_000007_000026	六
HVH_107_04_000007_000027	大臣專覆进官
HVH_107_04_000007_000028	鼻如事擅之坐新。至於现
HVH_107_04_000007_000029	即弄人臣之節故杖一百革不叙
HVH_107_04_000007_000030	條创
HVH_107_04_000007_000031	一支武職官人等不由銓選推举徑自朦
HVH_107_04_000007_000032	奏請希求進用禄奔競阻壊選法
HVH_107_04_000007_000033	者俱問罪章爲民
HVH_107_04_000008_000001	交官不蒂封公侯
HVH_107_04_000008_000002	无交官非有大功熟於国家而所司朦
HVH_107_04_000008_000003	奏請封公保爵者當該官吏及受封
HVH_107_04_000008_000004	之人皆所
HVH_107_04_000008_000005	其生前出将入相能除大
HVH_107_04_000008_000006	患盛忠報國者同開國功一體封保
HVH_107_04_000008_000007	随公不用此律
HVH_107_04_000008_000008	生受的球日书
HVH_107_04_000008_000009	无肠炎赠日
HVH_107_04_000008_000010	公侯亡爵官所待刷图功之
HVH_107_04_000008_000011	武臣若文官非有推诚宣力立按定
HVH_107_04_000008_000012	邦之大功辅成王之大固
HVH_107_04_000008_000013	不得监青爵黄若所司腺随封
HVH_107_04_000008_000014	之将是弄推請者受者皆
HVH_107_04_000008_000015	坐断其维文官而生前兼符相重
HVH_107_04_000008_000016	除宗之大忠以报
HVH_107_04_000008_000017	有大照者矣故得同開图功败
HVH_107_04_000008_000018	體封侯
HVH_107_04_000008_000019	公
HVH_107_04_000008_000020	皇越律例卷四
HVH_107_04_000008_000021	文官不封公便
HVH_107_04_000009_000001	設官吏
HVH_107_04_000009_000002	九内外各街門官有额定员数而多添設
HVH_107_04_000009_000003	者当官吏
HVH_107_04_000009_000004	指典
HVH_107_04_000009_000005	加一等罪止杖一百徒三年
HVH_107_04_000009_000006	若
HVH_107_04_000009_000007	服
HVH_107_04_000009_000008	爱眼計
HVH_107_04_000009_000009	以枉法
HVH_107_04_000009_000010	猴牛准
HVH_107_04_000009_000011	徒二年
HVH_107_04_000009_000012	容晋一人正官答二十首领答
HVH_107_04_000009_000013	三十更答四十每三人各加一等罪
HVH_107_04_000009_000014	止杖一百罪坐所由
HVH_107_04_000009_000015	容留之
HVH_107_04_000009_000016	人不坐
HVH_107_04_000009_000017	其罷閑官
HVH_107_04_000009_000018	更在外干预官事結搅寫發交案把持
HVH_107_04_000009_000019	官府富政害民者鱼杖八十於犯人名
HVH_107_04_000009_000020	皇越律侧
HVH_107_04_000009_000021	巷四律
HVH_107_04_000009_000022	入
HVH_107_04_000009_000023	盈菜官吏
HVH_107_04_000009_000024	下追银二十两付告人克赏有所规避
HVH_107_04_000009_000025	者從重論若宫府税由户口籍
HVH_107_04_000009_000026	丹崔募攒寫者勿論
HVH_107_04_000009_000027	各街门官院有额定员装而额外添
HVH_107_04_000009_000028	蒙是制矣做多一人即教一
HVH_107_04_000009_000029	等亦有經制额定之殿若额外控自
HVH_107_04_000009_000030	溢充所克之人数一百遷徒定制
HVH_107_04_000009_000031	谁徒二年恶其赏奸也若当談
HVH_107_04_000009_000032	二人以上
HVH_107_04_000009_000033	结外器容罪
HVH_107_04_000009_000034	典至十九人双上俱罪
HVH_107_04_000009_000035	以岗
HVH_107_04_000009_000036	发冠带假住者也能
HVH_107_04_000009_000037	容
HVH_107_04_000009_000038	入
HVH_107_04_000009_000039	(
HVH_107_04_000009_000040	共身
HVH_107_04_000009_000041	門
HVH_107_04_000009_000042	千预在官之
HVH_107_04_000009_000043	揽者包瓷
HVH_107_04_000009_000044	止放一百
HVH_107_04_000009_000045	坐所由者謂查说
HVH_107_04_000009_000046	人何人
HVH_107_04_000009_000047	贸面坐罪也墨闲
HVH_107_04_000009_000048	4
HVH_107_04_000010_000001	+
HVH_107_04_000010_000002	專其事因为寫行案把持者
HVH_107_04_000010_000003	把是持之意事在掌握使官府不
HVH_107_04_000010_000004	得自由据把持所謂干預官事
HVH_107_04_000010_000005	門首告
HVH_107_04_000010_000006	克赏之
HVH_107_04_000010_000007	规避之
HVH_107_04_000010_000008	重於
HVH_107_04_000010_000009	枚
HVH_107_04_000010_000010	观之
HVH_107_04_000010_000011	则
HVH_107_04_000010_000012	仍
HVH_107_04_000010_000013	本律故日重
HVH_107_04_000010_000014	游及人沪号
HVH_107_04_000010_000015	循丹罷
HVH_107_04_000010_000016	承人崔募之
HVH_107_04_000010_000017	半同海文案
HVH_107_04_000010_000018	自勿
HVH_107_04_000010_000019	输卷
HVH_107_04_000010_000020	修例
HVH_107_04_000010_000021	一内外大小衙門考取吏典照缺補用
HVH_107_04_000010_000022	更索頂頭錢者事計賊准不枉法
HVH_107_04_000010_000023	草设爲民
HVH_107_04_000010_000024	皇律例卷四
HVH_107_04_000010_000025	九
HVH_107_04_000010_000026	盘敬官吏
HVH_107_04_000010_000027	一吏典撤抚拒告本管官员及犯
HVH_107_04_000010_000028	騙詐欺怨嚇取財未得入并偷盗自
HVH_107_04_000010_000029	首者俱
HVH_107_04_000010_000030	照
HVH_107_04_000010_000031	同案
HVH_107_04_000010_000032	原籍爲民
HVH_107_04_000011_000001	信牌
HVH_107_04_000011_000002	无府州縣置立信牌
HVH_107_04_000011_000003	拘提人犯
HVH_107_04_000011_000004	催督公事
HVH_107_04_000011_000005	量地追近
HVH_107_04_000011_000006	定立程限随事销微连者
HVH_107_04_000011_000007	指差人
HVH_107_04_000011_000008	牌
HVH_107_04_000011_000009	一日
HVH_107_04_000011_000010	答一十每一日加一等罪止答四十〇
HVH_107_04_000011_000011	若府州官遇有催辨事務不行依律
HVH_107_04_000011_000012	遣信牌下所属坐守併者杖
HVH_107_04_000011_000013	一百
HVH_107_04_000011_000014	所属指州
HVH_107_04_000011_000015	郡村言
HVH_107_04_000011_000016	其点觀橋梁圩岸驿傳
HVH_107_04_000011_000017	遮铺踏勘災傷檢屍捕賊抄之類不
HVH_107_04_000011_000018	在此限
HVH_107_04_000011_000019	九府州题均提人犯催督公事自上
HVH_107_04_000011_000020	行下双牌信敬日信牌量地方之
HVH_107_04_000011_000021	近定撤之限期承牌人速限
HVH_107_04_000011_000022	者計日坐罪一日一十每日加一
HVH_107_04_000011_000023	电越律侧
HVH_107_04_000011_000024	卷四律
HVH_107_04_000011_000025	+
HVH_107_04_000011_000026	信牌
HVH_107_04_000011_000027	等至四日以上罪止答四十若府
HVH_107_04_000011_000028	州縣遇有一應催辨事務不建信牌
HVH_107_04_000011_000029	而親下所属坐守催佛是遵制实故
HVH_107_04_000011_000030	一百其照流标菜等類必意躬
HVH_107_04_000011_000031	其事以杜数詐
HVH_107_04_000011_000032	者自不在此限
HVH_107_04_000011_000033	條例
HVH_107_04_000011_000034	一府縣以上官員關係叛道軍需邈
HVH_107_04_000011_000035	公交等紧要重大事情照例差人外其
HVH_107_04_000011_000036	徐細事止許行票催提知遣创差遣人
HVH_107_04_000011_000037	役者营官指各题泰徇情不参者事
HVH_107_04_000011_000038	發一併議處其鎮营於平常細事差役
HVH_107_04_000011_000039	害民者亦交部議處
HVH_107_04_000011_000040	一州縣大小案件几有差票務须随時微
HVH_107_04_000012_000001	销如遇封印而案未圓結於封印時將
HVH_107_04_000012_000002	票暫行缴銷候開印差拘另行票
HVH_107_04_000012_000003	者將州縣官分别議處
HVH_107_04_000012_000004	皇慧律侧
HVH_107_04_000012_000005	土
HVH_107_04_000013_000001	贡举非其人
HVH_107_04_000013_000002	儿貢举非其人及才堪時用應貢举而不
HVH_107_04_000013_000003	貢举者
HVH_107_04_000013_000004	不举人数
HVH_107_04_000013_000005	人加一等罪止放一百所举之人知情
HVH_107_04_000013_000006	與同罪不知者不坐若主司考试
HVH_107_04_000013_000007	可取者置之下
HVH_107_04_000013_000008	爱赋具以社
HVH_107_04_000013_000009	法重端
HVH_107_04_000013_000010	举乃朝廷登建人材之大典若任
HVH_107_04_000013_000011	一
HVH_107_04_000013_000012	者面不
HVH_107_04_000013_000013	人均
HVH_107_04_000013_000014	等至五人以上罪正林一百
HVH_107_04_000013_000015	中到
HVH_107_04_000013_000016	制
HVH_107_04_000013_000017	所
HVH_107_04_000013_000018	之
HVH_107_04_000013_000019	上
HVH_107_04_000013_000020	非
HVH_107_04_000013_000021	人知情而饮附干通者同
HVH_107_04_000013_000022	貢舉其人
HVH_107_04_000013_000023	罪
HVH_107_04_000013_000024	能
HVH_107_04_000013_000025	器
HVH_107_04_000013_000026	.
HVH_107_04_000013_000027	明知可取者不取不可取者欲故
HVH_107_04_000013_000028	;
HVH_107_04_000013_000029	极礼十考试面失者一人三十
HVH_107_04_000013_000030	皆於罪止上减之地
HVH_107_04_000013_000031	條例
HVH_107_04_000013_000032	一鄉會試考試官同考官及應試子有
HVH_107_04_000013_000033	交通嘱託賄買關等問
HVH_107_04_000013_000034	一應試举監生儒及官更人等但有懷
HVH_107_04_000014_000001	交字銀两當搜出者枷號一個月
HVH_107_04_000014_000002	日杖一百革去職役其越舍共人换寫
HVH_107_04_000014_000003	文字或臨時换卷鱼用财倩夾带傅
HVH_107_04_000014_000004	通典夫臣軍役人等受財代替夾带傅
HVH_107_04_000014_000005	通及知情不举察捉擎者俱近邀克
HVH_107_04_000014_000006	軍若計賊重於本罪者從重科新官司
HVH_107_04_000014_000007	縱容者交部議處受财者以枉法論其
HVH_107_04_000014_000008	武場有犯偿换等弊俱照此例提
HVH_107_04_000014_000009	一几学臣考試如提調官通同作弊及引
