HVH_103_000007_000004	几四十设道3人大通都督都指挥等官信小理
HVH_103_000007_000005	降夷乃为正人情番字文書译審奏词
HVH_103_000007_000006	永樂七遣太监鄭和王景弘率官兵三下西洋凡西洋功次印首
HVH_103_000007_000007	送法了减草十三吏部員外郎城上使西域記凡十七
HVH_103_000007_000008	安南
HVH_103_000007_000009	掌明考序人
HVH_103_000007_000010	安南唐虞時交南也秦郡象港为南越豫武帝乎南越置九直日南三郡
HVH_103_000007_000011	未梁时始土家曲承美毛而谢到隐未管内大部果推豪首丁部
HVH_103_000007_000012	为州帥即子立米平颜表遂由附桓丁氏李公又氏凍
HVH_103_000007_000013	日又墓李氏宋遠夷故置问皆封為文知王兼美
HVH_103_000007_000014	宗遣破其图居海岛弱支作为元封其于光为安南图
HVH_103_000007_000015	光死子日短自立元破日短平子日矮造使貢元乱安
HVH_103_000007_000016	至又削乎群盗驅胡元洪武元年登極海内外日燎大又
HVH_103_000007_000017	南時軍廖永忠副軍朱亮祖師師嶺降何真宗廣東西日烽納
HVH_103_000008_000001	梁王尚南持内端二年遣其少中大夫同時敏大夫殿安來
HVH_103_000008_000002	朝貢请封遣侍学張事典藩牛谅封为安南图王賜驼室壹銀印
HVH_103_000008_000003	寧等安南日烤已乎其第日立遣亮迎清諾印寧等了
HVH_103_000008_000004	日遣杜舜次举请命于朝駐安南候命詔對日为王是卡遣翰林
HVH_103_000008_000005	编修仁兵部多振詔安南占城國王各民皆聽命三年日辉
HVH_103_000008_000006	平封其子日嗣王年陳叔以遣人貢部了受明年又遣人謝
HVH_103_000008_000007	封當是時叔四者烽兄也國岐十二年烽遣使來
HVH_103_000008_000008	上其強悍数侵占你詔叔二十年輝遣使貢賀聖二一年图相黎季华
HVH_103_000008_000009	皇明夷考序
HVH_103_000008_000010	七
HVH_103_000008_000011	人来貢二禮部尚書任亨太监察御史嚴震直合出州
HVH_103_000008_000012	趙宗寿二十七年遣人朝貢却子受二九手遣行人陳诚吕谦询令世思明伍
HVH_103_000008_000013	3聽陳氏傳十二世玉日混而黎氏纂立僭稱皇帝阅）古卢紀元
HVH_103_000008_000014	示樂
HVH_103_000008_000015	初季上表鼠姓名为明一元子蒼易名查作称陳氏绝登为陳氏甥求權
HVH_103_000008_000016	署國朝廷其请逾年陳王孫添平壹至京言李轼季上表
HVH_103_000008_000017	请迎添手为還以图
HVH_103_000008_000018	上遣行人聰送添平为國勃南副軍黄中吕毅率兵禦季肇
HVH_103_000009_000001	芹站殺添手我使人
HVH_103_000009_000002	上永四年七月辛邢以期國公为征吏軍总兵官西平晟新城輔左右
HVH_103_000009_000003	副州軍豐城彬雲場伯旭左右参軍程朱贵軍毛八丹朱
HVH_103_000009_000004	廣王恕学横海州军鲁麟王玉商鹰揚軍呂般朱江浩方政騎
HVH_103_000009_000005	州軍来荣李銘号旺刘劉出二十五州軍）以两京畿湖浙廣東西兴公
HVH_103_000009_000006	西祥）左副州軍左参州修却指揮陈盧旺等以巴蜀建昌雪贵号
HVH_103_000009_000007	出南自尚书刘儒参赞戎稀尚書黄大理寺卿陈洽糟
HVH_103_000009_000008	日上幸江福蔡誓日黎賊父子必獲赦骨必释母券乱世玩寇
HVH_103_000009_000009	皇明窦考序
HVH_103_000009_000010	毋毀廬墓毋害稼穑毋恣取貨财毋掠人妻女毋殺降此雖功子宿
HVH_103_000009_000011	毋冒除會利輕進人即撑立法民子孫賢车梅治一方班
HVH_103_000009_000012	師告庙揚功名善其勉時茂镇雲南先遗彬以征夷副軍印
HVH_103_000009_000013	制授晟十月輔兵度坡壘传檄苏黎賊二罪遂八鹤陵國晟兵出志鹤
HVH_103_000009_000014	江賊把守富良江平辅為征夷军代能十二月行人未询黎賊晟
HVH_103_000009_000015	兵拿宣江進火泡江輔兵渡泡江合兵渡富良江進克多邦墩焚贼西
HVH_103_000009_000016	都賊去入海輔駐兵州晟追贼至木九江五年月輔晟合兵破江
HVH_103_000009_000017	栅賊去海口败富良江五月去×安都督3柳升率舟師追
HVH_103_000010_000001	败之得贼船三百賊道且八海輔成乘追之升引兵出奇罹海口贼敗車
HVH_103_000010_000002	王榮朔等大擒季李保十人擒其子澄安南人武卿等擒佛大
HVH_103_000010_000003	卢皇帝蒼坞太子偽州相王侯桂國季號举昭求陈氏復立为安
HVH_103_000010_000004	南国王国人言黎賊残陳氏乃郡其地立纪布使司都指挥使司
HVH_103_000010_000005	按察司分十七府回交州北江谅江三江建手安建昌奉化清代宣化大原镇
HVH_103_000010_000006	諒山平×安恒化升華四七州一百五十七十一三市舶司一陵
HVH_103_000010_000007	為德美阀安人民三百二十重人二百八七千五百糧一千三百年
HVH_103_000010_000008	石象马牛十三五千九百般八千七百軍器二千五十三九千尚書
HVH_103_000010_000009	皇明贵考序
