HVH_096_000005_000009	相帝弘率育之仁神功乃是神德保我子孫惟日作息
HVH_096_000005_000010	東作方殷平秩仰聖人敬授之心春祈正望有年奉世守厚
HVH_096_000005_000011	農之式惟頼耕王之田順帝之則公私及雨憑鬼神造
HVH_096_000005_000012	化之靈忝稷惟馨致吾民普存之力咸曰歌粒我蒸民莫匪爾
HVH_096_000005_000013	極尚享子有歌方曰然無歌曰敬以云如前
HVH_096_000005_000014	合丁穀祭文宜改云
HVH_096_000005_000015	位前曰令為求丁求穀必告禮也恭惟
HVH_096_000005_000016	尊神得一而靈相帝率育凢我人民胥陶給足仲春季春祈丁
HVH_096_000005_000017	祈穀二大禮儀千古民俗蜡旣不通何敢瀆惟神佑之富
HVH_096_000005_000018	庶是福尚享敬以如前
HVH_096_000005_000019	四月祈安文
HVH_096_000005_000020	有一
HVH_096_000005_000021	謹以性香灯酒菓龍船金庫之儀
HVH_096_000006_000001	日天天至尊玄穹高上帝
HVH_096_000006_000002	金闕下
HVH_096_000006_000003	承天殽法后土黄地祗
HVH_096_000006_000004	玉陛下
HVH_096_000006_000005	三界主瘟大帝
HVH_096_000006_000006	陛下
HVH_096_000006_000007	五方行瘟諸部眾
HVH_096_000006_000008	值下
HVH_096_000006_000009	當年山年王天耗行譴天瘟行兵之神王曹判官
HVH_096_000006_000010	位前
HVH_096_000006_000011	當境本祠厶聖號
HVH_096_000006_000012	廣潤卓上等尊神
HVH_096_000006_000013	當境本祠東海靈應惠澤弘渝
HVH_096_000006_000014	位前
HVH_096_000006_000015	位前曰民等生居濁界命屬玄正性命而保太和固
HVH_096_000006_000016	天地發生之德調隂陽而理萬物寔鬼神造化之靈有幸戴
HVH_096_000006_000017	天而履土更逢主聖而辰平莫不順帝之則安吾之生仍思禮必
HVH_096_000006_000018	有禳冐瀆忘夫俗慮惟願神之克相期安允愜于轝情謹
HVH_096_000006_000019	告敬以五方土公本社先賢行兵行陣亡乏嗣
HVH_096_000006_000020	各付外培咸
HVH_096_000006_000021	謝祈安文
HVH_096_000006_000022	則告于
HVH_096_000006_000023	其各聖號如前謹以性藥香酒葉絲幣庶品之儀
HVH_096_000006_000024	扇有
HVH_096_000006_000025	位前曰民等生居濁界命玄正命而保泰和國
HVH_096_000006_000026	天地生之德調隂陽而理萬物寔鬼神造化之靈凢鹿乎土咸遂厥
HVH_096_000006_000027	生仍思禮必有祈金庫致升香之敬尤之恐瀆船龍将送
HVH_096_000006_000028	之誠印祈玄鑿󰱃達凢情謹告敬以云云如前
HVH_096_000007_000001	祈安謝禮文其各冩聖號如前
HVH_096_000007_000002	天地為心萬物為體年神欽帝命以分司辰行乘氣機而變理
HVH_096_000007_000003	疫癘付或然之數無心黙契無私瘡痰憑再造之仁至威寔存
HVH_096_000007_000004	至愛禱之乆矣錫安寔頼神庥矧可斁思献滕敢陳俗
HVH_096_000007_000005	以如前
HVH_096_000007_000006	合禮謹告敬
HVH_096_000007_000007	上田祭文
HVH_096_000007_000008	先神農司后稷前
HVH_096_000007_000009	稷尊神
HVH_096_000007_000010	位前曰舎為上田必告禮也
HVH_096_000007_000011	恭惟
HVH_096_000007_000012	聖五粒我蒸民端農正表循此䂓矩服其田私萬世唐虞泰和宇宙耕
HVH_096_000007_000013	稼及辰九天雨露祈報不忘百年田祖尚冀西成慰此東作尚
HVH_096_000007_000014	享敬以
HVH_096_000007_000015	歷代諸農正
HVH_096_000007_000016	田父田母
HVH_096_000007_000017	各從其祀者
HVH_096_000007_000018	春秋丁祭文
HVH_096_000007_000019	惟神不尚其来韶
HVH_096_000007_000020	丁子風得送如元人心也陽南息通古丁先謂
HVH_096_000007_000021	又丁義中外堂
HVH_096_000007_000022	宗祀心及如丁通健礼故陈齊明承祭神開其聚其如云
HVH_096_000007_000023	先聖師位
HVH_096_000007_000024	此好相我斯文
HVH_096_000007_000025	先賢位
HVH_096_000007_000026	告
HVH_096_000007_000027	茲適春丁預虔謁祭尚鍳微誠󰱃蒙
HVH_096_000007_000028	餘惠謹告敬以本社文會歷朝科宦諸先正各從其祀者
HVH_096_000007_000029	正祭位前曰道在六經澤及萬世禮有先師日以丁祭尚享敬以如
HVH_096_000007_000030	嘗新祭尊神文
HVH_096_000007_000031	位前曰歲事旣畢百穀用成從俗薦新仰答神庥尚享敬以如前
HVH_096_000008_000001	嘗新祭先農文
HVH_096_000008_000002	先晉司書尊神
HVH_096_000008_000003	位前曰今為嘗新必告禮也
HVH_096_000008_000004	恭惟
HVH_096_000008_000005	尊神萬寶告成惟神之庥禮有报本用伸虔献尚享敬以
HVH_096_000008_000006	曰厶各從其
HVH_096_000008_000007	歷代目晨列
HVH_096_000008_000008	月祭文十
HVH_096_000008_000009	十二月初十
HVH_096_000008_000010	位前曰為臘祭必告禮也夫者
HVH_096_000008_000011	獵也古用備牲祭謂臘焉茲乃循例以終歲祀之事而明實報
HVH_096_000008_000012	之誠卽黍稷苾芬羔豚肥盾雖吾民普存之力寔鬼神
HVH_096_000008_000013	率育之仁故帝臨乎民斯世崇其祭自德隆相傳世世載功作
HVH_096_000008_000014	元祀香火耀揚鞭壓浪之神咸歷嘉平初十年年合敬統
HVH_096_000008_000015	同人牲酒寓飲蜡歌幽之禮意尚享敬以如前
HVH_096_000008_000016	黎朝公主祭文
HVH_096_000008_000017	二八月初十日
HVH_096_000008_000018	護國庇民貞婉翊保中典尊神文
HVH_096_000008_000019	啓定封
HVH_096_000008_000020	敕黎朝皇親第二公主諱妙字玉財
HVH_096_000008_000021	號玉瑶聖󰜏神位
HVH_096_000008_000022	位前曰為春秋祭慶㑹必告禮也
HVH_096_000008_000023	恭惟
HVH_096_000008_000024	尊主吳家令姪黎室懿親金枝之秀玉葉之珍祿田一頃澤及同
HVH_096_000008_000025	民保我子姓厥設茲申尚享敬以左右侍女本方王公各從其祀者
HVH_096_000008_000026	文体
HVH_096_000008_000027	恭惟
HVH_096_000008_000028	其不速方
HVH_096_000008_000029	尊主聰明正直光大含弘德合坤元永貞恒乆金枝玉葉派衍銀
HVH_096_000009_000001	潢王玘瑶池響餘琚瑀不盡福澤頌良田何溯事功惟餘片
HVH_096_000009_000002	石苾芬明祀忝稷惟馨感以致誠祭如神在茲届春仲不腆菲
HVH_096_000009_000003	葑被髪大荒厥庭陟降雲纏鳳輦風送魚車香案摘來上天脱
HVH_096_000009_000004	車音至
HVH_096_000009_000005	軍音一
HVH_096_000009_000006	一依稀月殿雲想衣裳彷佛寒宮花󰋈粧粉聲靈赫濯日
HVH_096_000009_000007	炤月臨保國護民人康物阜巍峩双廟馬南椎磅礴两間西
HVH_096_000009_000008	藍束布誠殷對越祗奠心香絡繹頂香婆娑宇下來崇來下頂
HVH_096_000009_000009	戴不忘作頌雅歌張皇神德手舞足蹈顯赫神功尚享敬以如前
HVH_096_000009_000010	本社合忌祭文正月十五日
HVH_096_000009_000011	孕有
HVH_096_000009_000012	本社諸家歷代先祖列位位前曰令為合忌必告禮也恭惟
HVH_096_000009_000013	先祖人本乎祖物始於春凢有血氣莫不尊親雨濡旣渥孝感
HVH_096_000009_000014	彌殷誠將一敬合同人於維列祖監此明禋保我子姓厥
HVH_096_000009_000015	報茲申尚饗敬皮天死亡乏嗣咸來附食
HVH_096_000009_000016	合忌齊儀謁祭文即十四日暮
HVH_096_000009_000017	夫
HVH_096_000009_000018	位前曰木本水源太極巨慎終追遠天理人心遮年合祀以
HVH_096_000009_000019	将誠列祖各陳其󰱃品花盤甘脆分誠以合敬于同人亭宇晏
HVH_096_000009_000020	筵給祭以萃靈于渙敬百家子姓雨露而怵惕心生列祖幽馨
HVH_096_000010_000001	僾愾而見聞若在其上在其左右萬古精神彰其度彰其物
HVH_096_000010_000002	文千秋爼豆苾芬明祀惟神格思陟降在庭錫之繁祇具陳謁
HVH_096_000010_000003	祭享以多儀尚饗
HVH_096_000010_000004	又体正祭一首
HVH_096_000010_000005	恭惟
HVH_096_000010_000006	列祖植德根深培仁基厚千秋廟宇香火長存萬古蒸嘗享祀有所
HVH_096_000010_000007	念増怵惕凛春雨露之旣濡長憶本源溯天一三之所自於情
HVH_096_000010_000008	曷想我先民由義所生将誠以物堂椒屋芷孚芹曝于同人
HVH_096_000010_000009	夫遂方諸潔水火于寸念同尊合敬殷紀念於百年聚精會神
HVH_096_000010_000010	行微誠於一奠如在上如在左右陟降光臨彰其數彰其物文
HVH_096_000010_000011	菲葑弗腆胤延黄子姓雲仍保我黎民財物康阜永錫爾類
