HVH_107_05_000006_000022	所考错鼠不明者被入十亦住
HVH_107_05_000006_000023	皇越律
HVH_107_05_000006_000024	卷五使神
HVH_107_05_000006_000025	四
HVH_107_05_000006_000026	案制書印信
HVH_107_05_000006_000027	棒眼三十日尋不获乃坐得规免
HVH_107_05_000006_000028	罪。其各門吏典若役满之時
HVH_107_05_000006_000029	一應已未文卷交付接管之人
HVH_107_05_000006_000030	康遗失之者更杖八十
HVH_107_05_000006_000031	御門首領官及承行吏不侯新善
HVH_107_05_000006_000032	吏交割卷宗白扶同史
HVH_107_05_000006_000033	照起送役者亦如吏典之罪
HVH_107_05_000006_000034	杖八十坐首不及正馆者以首
HVH_107_05_000006_000035	條侧
HVH_107_05_000006_000036	一九諸道府州縣官無論正署俱於離任
HVH_107_05_000006_000037	時将任内根簿籍及自行理户婚
HVH_107_05_000006_000038	田土钱债等項一切已結卷宗及犯證
HVH_107_05_000006_000039	呈狀供詞均於接缝處印照依年月
HVH_107_05_000006_000040	號登記並將任交之案一价检
HVH_107_05_000006_000041	R
HVH_107_05_000007_000001	加具並無藏抽改其未结各案及上
HVH_107_05_000007_000002	司批審都容移查究自理各项俱
HVH_107_05_000007_000003	開事由月造丹一體甘結交代接
HVH_107_05_000007_000004	任官限一個月按丹查核如並無隐医
HVH_107_05_000007_000005	遗漏即出具印结领申明該填营官
HVH_107_05_000007_000006	存照入於交代案内其不肖胥吏不行
HVH_107_05_000007_000007	查明交代者状八十其有乘機隐匿
HVH_107_05_000007_000008	改作弊等情各按其所作之弊悉照本
HVH_107_05_000007_000009	條治罪受财者以枉法從重論其道府
HVH_107_05_000007_000010	州縣官失察及造册通延遗漏隐匿並
HVH_107_05_000007_000011	希圖省事或卷不接縫或接縫不用印
HVH_107_05_000007_000012	皇越律创卷五
HVH_107_05_000007_000013	目五
HVH_107_05_000007_000014	荣发制書印店
HVH_107_05_000007_000015	以致吏乘機舞弊者該镇营官查
HVH_107_05_000007_000016	照例分别議處
HVH_107_05_000007_000017	一大小衙門将奉行條创齊造册於新
HVH_107_05_000007_000018	舊交盘之時一體交盤如有遗漏將吏
HVH_107_05_000007_000019	典照遣失官文書律治罪管官交部
HVH_107_05_000007_000020	議處
HVH_107_05_000007_000021	一九直四營與諸慎無論正署於離任
HVH_107_05_000007_000022	時將一切卷宗及自理詞已結未結
HVH_107_05_000007_000023	及钱粮薄籍俱於接處印一體造
HVH_107_05_000007_000024	册交接任官其接任官将交代清楚情
HVH_107_05_000007_000025	由具本陈奏一面具結详明報部並将
HVH_107_05_000008_000001	班吏加緊防關不許藉端出署如有
HVH_107_05_000008_000002	延滕混即行嚴究如因離任事故不及
HVH_107_05_000008_000003	親辨者貴现在同任宫及首領吏典造
HVH_107_05_000008_000004	册系辨
HVH_107_05_000008_000005	一九將
HVH_107_05_000008_000006	誥命舊軸售賣及轉賣者照違
HVH_107_05_000008_000007	制律杖一百
HVH_107_05_000008_000008	皇越律侧
HVH_107_05_000008_000009	卷五
HVH_107_05_000008_000010	大
HVH_107_05_000008_000011	秦假書伊信
HVH_107_05_000008_000012	h
HVH_107_05_000009_000001	上書奏事犯諱
HVH_107_05_000009_000002	九上書若奏事誤犯御名及廟諱者杖八
HVH_107_05_000009_000003	餘文書誤祀者管四十若為名字
HVH_107_05_000009_000004	犯者
HVH_107_05_000009_000005	人
HVH_107_05_000009_000006	晴
HVH_107_05_000009_000007	杖一百其所犯御名及
HVH_107_05_000009_000008	廟諱聲音相似字樣各别及有二字止
HVH_107_05_000009_000009	犯一字者皆不坐罪若上書及奏事
HVH_107_05_000009_000010	錯誤當言原免而言不免
HVH_107_05_000009_000011	相
HVH_107_05_000009_000012	之甚
HVH_107_05_000009_000013	當言千
HVH_107_05_000009_000014	石而言十石
HVH_107_05_000009_000015	相卷
HVH_107_05_000009_000016	九甚
HVH_107_05_000009_000017	之類有害於事者杖
HVH_107_05_000009_000018	大十申六部错誤有害於事者答四十
HVH_107_05_000009_000019	其餘街門文書錯誤者二十若所申
HVH_107_05_000009_000020	有錯誤而交案可行不害於事者勿
